Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
100,,0,6,411,23
200,,0,6,411,23
300,,0,6,411,23
400,,0,6,411,23
500,,0,6,411,23
600,,0,6,411,23
700,,0,6,411,23
800,,0,6,411,23
900,,0,6,411,23
1000,,0,6,411,23
1100,,0,6,411,23
1200,,0,6,411,23
1300,,0,6,411,23
1400,,0,6,411,23
1500,,0,6,411,23
1600,,0,6,411,23
1700,,0,6,411,23
1800,,0,6,411,23
1900,,0,6,411,23
2000,,0,6,411,23
2100,,0,6,411,23
2200,,0,6,411,23
2300,,0,6,411,23
2400,,0,6,411,23
2500,,0,6,411,23
2600,,0,6,411,23
2700,,0,6,411,24
2800,,0,6,411,23
2900,,0,6,411,23
3000,,0,6,411,24
3100,,0,6,411,24
3200,,0,6,411,24
3300,,0,6,411,23
3400,,0,6,411,23
3500,,0,6,411,24
3600,,0,6,411,23
3700,,0,6,411,23
3800,,0,6,411,23
3900,,0,6,411,23
4000,,0,6,411,24
4100,,0,6,411,23
4200,,0,6,411,23
4300,,0,6,411,24
4400,,0,6,411,24
4500,,0,6,411,23
4600,,0,6,411,23
4700,,0,6,411,24
4800,,0,6,411,24
4900,,0,6,411,23
5000,,0,6,411,24
5100,,0,6,411,24
5200,,0,6,411,24
5300,,0,6,411,23
