Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,8,8,17,55,,16,6,16,46,,20,14,14,64,,22,17,14,45
1600,,8,8,17,55,,16,6,16,46,,20,14,14,64,,22,17,14,45
2400,,8,8,17,55,,16,6,16,46,,20,14,14,65,,22,17,15,45
3200,,8,8,17,55,,16,6,16,46,,20,14,14,64,,21,17,29,44
4000,,8,8,16,55,,17,6,15,46,,20,14,14,64,,22,17,15,44
4800,,8,8,16,45,,17,6,15,46,,20,14,14,64,,22,17,14,44
5600,,8,7,17,56,,18,6,14,46,,20,14,14,64,,22,17,15,44
6400,,8,7,17,56,,18,6,14,46,,20,14,14,64,,22,17,15,44
7200,,8,7,17,56,,18,6,14,46,,20,14,14,64,,22,17,16,44
8000,,8,8,17,45,,17,6,15,46,,20,14,14,65,,22,16,16,60
