Lap Nr,Point 1,X,Y
1,0,491.98712,155.00029
2,0,491.91895,155.10054
3,0,492.01624,155.02046
4,0,491.97922,155.04881
5,0,491.98242,155.03711
6,0,491.96225,155.05095
7,0,491.98843,155.07297
8,0,491.97867,155.10928
9,0,491.9502,155.06367
10,0,502.2259,153.03984
11,0,517.93726,180.02829
12,0,554.8824,175.15125
13,0,550.7775,176.22313
14,0,531.79047,172.74612
15,0,568.8693,192.03436
16,0,515.7696,266.0395
17,0,515.77454,265.8626
18,0,515.8342,265.89276
19,0,515.7279,265.82983
20,0,515.895,265.82526
21,0,515.986,265.87863
22,0,515.93506,265.89
23,0,515.9575,265.92902
24,0,515.9498,265.92938
25,0,515.891,265.883
26,0,515.8097,265.90674
27,0,516.0385,265.85794
28,0,516.00024,265.8721
29,0,515.8165,265.8998
30,0,515.8122,265.8951
31,0,515.80396,265.9208
32,0,515.66583,265.9336
33,0,515.7813,265.8849
34,0,516.1441,265.7716
35,0,515.66113,265.9772
36,0,515.93427,265.92194
37,0,515.7477,265.91345
38,0,515.7788,265.925
39,0,515.6273,265.90735
40,0,515.5576,265.94193
41,0,515.51624,265.93463
42,0,515.5974,265.9194
43,0,515.81915,265.85873
44,0,515.73267,266.01538
45,0,515.91724,266.0789
46,0,583.4148,255.21443
47,0,657.57513,251.50758
48,0,728.7547,256.0008
49,0,762.7676,224.98108
50,0,830.05414,241.89774
51,0,894.9701,263.79398
52,0,956.65924,292.87863
53,0,1015.6187,296.454
54,0,1043.8748,287.2014
55,0,1017.7776,283.438
56,0,1026.3916,289.70422
57,0,975.84247,256.18372
58,0,975.84247,256.18372
59,0,975.84247,256.18372
60,0,975.84247,256.18372
61,0,975.84247,256.18372
62,0,975.84247,256.18372
63,0,975.84247,256.18372
64,0,975.84247,256.18372
65,0,975.84247,256.18372
66,0,975.84247,256.18372
67,0,975.84247,256.18372
68,0,975.84247,256.18372
69,0,975.84247,256.18372
70,0,975.84247,256.18372
71,0,975.84247,256.18372
72,0,975.84247,256.18372
73,0,975.84247,256.18372
74,0,975.84247,256.18372
75,0,975.84247,256.18372
76,0,975.84247,256.18372
77,0,975.84247,256.18372
78,0,975.84247,256.18372
79,0,975.84247,256.18372
80,0,1009.49646,249.18636
81,0,969.5732,232.47112
82,0,745.5144,195.8636
83,0,745.5144,195.8636
84,0,745.5144,195.8636
85,0,746.292,195.32181
86,0,746.292,195.32181
87,0,746.292,195.32181
88,0,754.6487,195.62602
89,0,762.99225,198.02768
90,0,762.6341,196.11388
91,0,760.63995,196.11723
92,0,760.7266,194.20953
93,0,762.6446,196.1223
94,0,763.4136,198.20564
95,0,763.4136,198.20564
96,0,763.4136,198.20564
97,0,763.4136,198.20564
98,0,770.41736,209.32497
99,0,778.48126,263.25476
100,0,848.10394,280.89603
101,0,848.5316,280.85193
102,0,848.37054,280.79672
103,0,848.34204,280.88574
104,0,848.3493,280.83774
105,0,848.4008,280.96426
106,0,848.16473,280.8662
107,0,847.9852,280.91592
108,0,848.0128,280.98077
109,0,847.69086,280.92767
110,0,847.70215,280.89392
111,0,848.0317,280.84924
112,0,847.87994,280.84576
113,0,869.8494,209.32413
114,0,872.9082,222.70863
115,0,823.14026,236.92134
116,0,823.14026,236.92134
117,0,822.4924,236.65799
118,0,822.4924,236.65799
119,0,822.4924,236.65799
120,0,822.4924,236.65799
121,0,822.4924,236.65799
122,0,822.4924,236.65799
123,0,822.4924,236.65799
124,0,822.4924,236.65799
125,0,827.1651,237.53336
126,0,827.1651,237.53336
127,0,931.7222,264.82544
128,0,1011.4154,320.70532
129,0,1001.1741,358.9936
130,0,1029.1389,381.20526
131,0,1029.146,381.35437
132,0,1029.2422,381.38644
133,0,1029.218,381.43762
134,0,1029.0854,381.4443
135,0,1029.025,381.50742
136,0,1028.8427,381.62296
137,0,1028.8938,381.58426
138,0,1028.7888,381.71954
139,0,1028.9724,381.59116
140,0,1028.6754,381.47705
141,0,1102.2799,328.96136
142,0,1106.7478,357.92084
143,0,1102.3109,410.61893
144,0,1102.6193,410.72775
145,0,1102.6643,410.95752
146,0,1102.5736,410.81693
147,0,1102.5509,410.69095
148,0,1102.5691,411.21045
149,0,1102.2698,411.25952
150,0,1102.038,411.3492
151,0,1102.1635,411.02847
152,0,1102.1248,411.1637
153,0,1132.8661,394.76254
154,0,1208.5602,378.3839
155,0,1208.5602,378.3839
156,0,1208.5602,378.3839
157,0,1208.5602,378.3839
158,0,1208.5602,378.3839
159,0,1208.5602,378.3839
160,0,1208.5602,378.3839
161,0,1208.5602,378.3839
162,0,1208.5602,378.3839
163,0,1208.5602,378.3839
164,0,1208.5602,378.3839
165,0,1208.5602,378.3839
166,0,1208.5602,378.3839
167,0,1208.5602,378.3839
168,0,1208.5602,378.3839
169,0,1208.5602,378.3839
170,0,1208.5602,378.3839
171,0,1208.5602,378.3839
172,0,1208.5602,378.3839
173,0,1208.5602,378.3839
174,0,1208.5602,378.3839
175,0,1208.5602,378.3839
176,0,1208.5602,378.3839
177,0,1208.5602,378.3839
178,0,1208.5602,378.3839
179,0,1208.5602,378.3839
180,0,1208.5602,378.3839
181,0,1208.5602,378.3839
182,0,1208.5602,378.3839
183,0,1208.5602,378.3839
184,0,1208.5602,378.3839
185,0,1208.5602,378.3839
186,0,1208.5602,378.3839
187,0,1208.5602,378.3839
188,0,1208.5602,378.3839
189,0,1208.5602,378.3839
190,0,1208.5602,378.3839
191,0,1208.5602,378.3839
192,0,1208.5602,378.3839
193,0,1208.5602,378.3839
194,0,1208.5602,378.3839
195,0,1208.5602,378.3839
196,0,1208.5602,378.3839
197,0,1208.5602,378.3839
198,0,1208.5602,378.3839
199,0,1208.5602,378.3839
200,0,1208.5602,378.3839
201,0,1208.5602,378.3839
202,0,1208.5602,378.3839
203,0,1208.5602,378.3839
204,0,1208.5602,378.3839
205,0,1208.5602,378.3839
206,0,1208.5602,378.3839
207,0,1208.5602,378.3839
208,0,1208.5602,378.3839
209,0,1208.5602,378.3839
210,0,1208.5602,378.3839
211,0,1208.5602,378.3839
212,0,1208.5602,378.3839
213,0,1208.5602,378.3839
214,0,1208.5602,378.3839
215,0,1208.5602,378.3839
216,0,1208.5602,378.3839
217,0,1208.5602,378.3839
218,0,1208.5602,378.3839
219,0,1208.5602,378.3839
220,0,1208.5602,378.3839
221,0,1208.5602,378.3839
222,0,1207.7935,372.698
223,0,1207.7935,372.698
224,0,1207.7935,372.698
225,0,1207.7935,372.698
226,0,1207.7935,372.698
227,0,1207.7935,372.698
228,0,1207.7935,372.698
229,0,1207.9105,370.24463
230,0,1202.9199,370.42892
231,0,1200.4115,371.42444
232,0,1196.5905,372.39648
233,0,1196.5905,372.39648
234,0,1196.3939,369.62775
235,0,1196.3939,369.62775
236,0,1196.3939,369.62775
237,0,1196.3939,369.62775
238,0,1196.3939,369.62775
239,0,1196.3939,369.62775
240,0,1196.3939,369.62775
241,0,1196.2948,369.02527
242,0,1196.0161,369.01437
243,0,1195.223,369.06177
244,0,1195.2542,370.5761
245,0,1195.2542,370.5761
246,0,1195.2542,370.5761
247,0,1195.2542,370.5761
248,0,1195.2542,370.5761
249,0,1195.2542,370.5761
250,0,1195.2542,370.5761
251,0,1195.2542,370.5761
252,0,1195.2542,370.5761
253,0,1195.2542,370.5761
254,0,1195.2542,370.5761
255,0,1195.2542,370.5761
256,0,1195.2542,370.5761
257,0,1195.2542,370.5761
258,0,1195.2542,370.5761
259,0,1195.2542,370.5761
260,0,1195.2542,370.5761
261,0,1195.2542,370.5761
262,0,1195.2542,370.5761
263,0,1195.2542,370.5761
264,0,1195.2542,370.5761
265,0,1195.2542,370.5761
266,0,1195.2542,370.5761
267,0,1195.2542,370.5761
268,0,1195.2542,370.5761
269,0,1195.2542,370.5761
270,0,1195.2542,370.5761
271,0,1195.2542,370.5761
272,0,1195.2542,370.5761
273,0,1195.2542,370.5761
274,0,1195.2542,370.5761
275,0,1195.2542,370.5761
276,0,1195.2542,370.5761
277,0,1195.2542,370.5761
278,0,1195.2542,370.5761
279,0,1195.2542,370.5761
280,0,1195.2542,370.5761
281,0,1195.2542,370.5761
282,0,1195.2542,370.5761
283,0,1195.4362,370.21295
284,0,1195.4362,370.21295
285,0,1196.0188,370.05264
286,0,1196.0188,370.05264
287,0,1196.0188,370.05264
288,0,1196.0188,370.05264
289,0,1196.0188,370.05264
290,0,1196.0188,370.05264
291,0,1196.0188,370.05264
292,0,1196.0188,370.05264
293,0,1196.0188,370.05264
294,0,1196.0188,370.05264
295,0,1196.0188,370.05264
296,0,1196.0188,370.05264
297,0,1196.0188,370.05264
298,0,1196.0188,370.05264
299,0,1196.0188,370.05264
300,0,1196.0188,370.05264
301,0,1196.0188,370.05264
302,0,1196.0188,370.05264
303,0,1196.0188,370.05264
304,0,1196.0188,370.05264
305,0,1196.0188,370.05264
306,0,1196.0188,370.05264
307,0,1196.0188,370.05264
308,0,1196.0188,370.05264
309,0,1196.0188,370.05264
310,0,1196.0188,370.05264
311,0,1196.0188,370.05264
312,0,1196.0188,370.05264
313,0,1196.0188,370.05264
314,0,1196.0188,370.05264
315,0,1196.0188,370.05264
316,0,1196.0188,370.05264
317,0,1196.0188,370.05264
318,0,1196.0188,370.05264
319,0,1196.0188,370.05264
320,0,1196.0188,370.05264
321,0,1196.0188,370.05264
322,0,1196.0188,370.05264
323,0,1196.0188,370.05264
324,0,1196.0188,370.05264
325,0,1196.0188,370.05264
326,0,1196.0188,370.05264
327,0,1196.0188,370.05264
328,0,1196.0188,370.05264
329,0,1196.0188,370.05264
330,0,1196.0188,370.05264
331,0,1194.6907,368.98178
332,0,1194.6907,368.98178
333,0,1194.6907,368.98178
334,0,1194.6907,368.98178
335,0,1194.6907,368.98178
336,0,1194.6907,368.98178
337,0,1194.6907,368.98178
338,0,1194.6907,368.98178
339,0,1194.6907,368.98178
340,0,1194.6907,368.98178
341,0,1194.6907,368.98178
342,0,1194.6907,368.98178
343,0,1194.6907,368.98178
344,0,1194.6907,368.98178
345,0,1194.6907,368.98178
346,0,1194.6907,368.98178
347,0,1194.6907,368.98178
348,0,1194.6907,368.98178
349,0,1194.6907,368.98178
350,0,1194.6907,368.98178
351,0,1194.6907,368.98178
352,0,1194.6907,368.98178
353,0,1194.6907,368.98178
354,0,1194.6907,368.98178
355,0,1194.6907,368.98178
356,0,1194.6907,368.98178
357,0,1194.6907,368.98178
358,0,1194.6907,368.98178
359,0,1194.6907,368.98178
360,0,1194.6907,368.98178
361,0,1194.6907,368.98178
362,0,1194.6907,368.98178
363,0,1194.6907,368.98178
364,0,1194.6907,368.98178
365,0,1194.6907,368.98178
366,0,1194.6907,368.98178
367,0,1194.6907,368.98178
368,0,1194.6907,368.98178
369,0,1194.7476,368.93634
370,0,1198.0422,370.46762
371,0,1198.0422,370.46762
372,0,1198.0422,370.46762
373,0,1198.0422,370.46762
374,0,1198.0422,370.46762
375,0,1198.0422,370.46762
376,0,1198.0422,370.46762
377,0,1198.0422,370.46762
378,0,1198.0422,370.46762
379,0,1198.0422,370.46762
380,0,1198.0422,370.46762
381,0,1198.0422,370.46762
382,0,1198.0422,370.46762
383,0,1198.0422,370.46762
384,0,1198.0422,370.46762
385,0,1198.0422,370.46762
386,0,1198.0422,370.46762
387,0,1198.0422,370.46762
388,0,1198.0422,370.46762
389,0,1198.0422,370.46762
390,0,1198.0422,370.46762
391,0,1198.0422,370.46762
392,0,1198.0422,370.46762
393,0,1198.0422,370.46762
394,0,1198.0422,370.46762
395,0,1198.0422,370.46762
396,0,1198.0422,370.46762
397,0,1198.0422,370.46762
398,0,1198.0422,370.46762
399,0,1198.0422,370.46762
400,0,1197.6576,370.54312
401,0,1206.2599,368.9442
402,0,1206.2599,368.9442
403,0,1206.2599,368.9442
404,0,1206.2599,368.9442
405,0,1206.2599,368.9442
406,0,1206.2599,368.9442
