Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,13,7,28,90,,13,9,29,86,,16,16,26,90,,12,15,28,85
1600,,13,7,28,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
2400,,13,7,28,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
3200,,13,7,28,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
4000,,13,7,28,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
4800,,13,7,27,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
5600,,13,7,27,90,,13,9,29,86,,16,16,26,90,,12,15,29,85
6400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,28,86
7200,,13,8,27,89,,13,9,30,86,,16,17,26,89,,12,15,28,85
8000,,13,8,27,89,,13,9,29,86,,16,18,26,88,,12,15,28,85
8800,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
9600,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
10400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,28,86
11200,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,86
12000,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
12800,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
13600,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
14400,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
15200,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,29,86
16000,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
16800,,13,8,27,89,,13,9,29,86,,16,17,26,89,,12,15,28,85
17600,,13,8,27,89,,13,9,29,86,,16,18,26,88,,12,15,28,86
18400,,13,8,27,89,,13,9,29,86,,16,18,26,88,,12,15,28,86
19200,,13,8,27,89,,13,9,29,86,,16,18,26,88,,12,15,28,86
20000,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,28,86
20800,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,29,86
21600,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,29,86
22400,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,29,86
23200,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,29,86
24000,,13,8,27,89,,13,9,29,86,,16,18,26,89,,12,15,28,86
24800,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
25600,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,28,86
26400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
27200,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
28000,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
28800,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
29600,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
30400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
31200,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
32000,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
32800,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
33600,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
34400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
35200,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
36000,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
36800,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
37600,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
38400,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
39200,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
40000,,13,9,27,88,,13,9,29,86,,16,18,26,89,,12,15,29,86
