Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,9,22,26,75,,56,108,7,21,,21,55,25,62,,14,13,24,85
1600,,9,22,26,75,,56,108,7,21,,21,54,25,63,,13,13,25,84
2400,,9,22,26,75,,56,108,7,21,,20,55,26,63,,14,13,24,84
3200,,9,22,26,75,,56,108,7,21,,20,55,26,62,,14,13,24,84
4000,,9,22,26,75,,57,109,6,20,,20,55,26,63,,14,13,24,85
4800,,9,22,26,75,,56,108,7,21,,20,54,26,63,,13,13,25,84
5600,,9,22,26,75,,56,108,7,21,,20,55,26,62,,14,13,24,84
6400,,9,22,26,75,,56,108,7,21,,20,55,26,62,,14,13,24,84
7200,,9,22,26,75,,56,108,7,21,,20,55,26,62,,14,13,24,84
8000,,9,22,26,75,,56,108,7,21,,20,52,26,65,,14,13,24,84
