Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,6,9,17,55,,6,9,17,55,,6,9,17,55,,6,9,17,55
1600,,6,9,17,55,,6,9,17,55,,6,9,17,55,,6,9,17,55
2400,,6,9,17,55,,6,9,17,55,,4,13,16,60,,4,13,16,60
3200,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
4000,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
4800,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
5600,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
6400,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
7200,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
8000,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
8800,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
9600,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
10400,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
11200,,4,13,16,60,,4,13,16,60,,4,13,16,60,,4,13,16,60
12000,,4,13,16,60,,4,13,16,60,,0,10,24,69,,0,10,24,69
12800,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
13600,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
14400,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
15200,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
16000,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
16800,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
17600,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
18400,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
19200,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
20000,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
20800,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
21600,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
22400,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
23200,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
24000,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
24800,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
25600,,0,10,24,69,,0,10,24,69,,0,10,24,69,,0,10,24,69
26400,,0,10,24,69,,0,10,24,69,,0,10,24,69,,5,11,38,58
27200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
28000,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
28800,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
29600,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
30400,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
31200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
32000,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
32800,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
33600,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
34400,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
35200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
36000,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
36800,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
37600,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
38400,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
39200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
40000,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
40800,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
41600,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
42400,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
43200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
44000,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
44800,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
45600,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
46400,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
47200,,5,11,38,58,,5,11,38,58,,5,11,38,58,,5,11,38,58
