Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,21,10,17,56,,24,9,16,46,,28,10,14,62,,29,18,14,45
1600,,21,10,17,56,,24,9,16,46,,28,10,14,62,,29,18,14,45
2400,,21,10,17,56,,24,9,16,46,,28,10,14,62,,29,18,15,45
3200,,21,10,17,56,,24,9,16,46,,28,10,14,62,,28,18,33,44
4000,,21,10,16,56,,25,9,15,46,,28,10,14,62,,29,18,15,44
4800,,21,10,16,45,,25,9,15,46,,28,10,14,62,,29,18,14,44
5600,,21,9,17,57,,26,9,14,46,,28,10,14,62,,29,18,15,44
6400,,21,9,17,57,,26,9,14,46,,28,10,14,62,,29,18,15,44
7200,,21,9,17,57,,26,9,14,46,,28,10,14,62,,29,18,16,44
8000,,21,9,17,46,,25,9,15,46,,28,10,14,62,,29,17,16,60
