Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,800,7,C 1,7,33,C 2,2,66,C 3,19,18,C 4,12,56,C 5,21,68,C 6,7,19,C 7,10,43
,1600,7,C 1,7,30,C 2,2,66,C 3,19,18,C 4,21,68,C 5,18,55,C 6,10,47,C 7,7,18
,2400,7,C 1,7,30,C 2,2,66,C 3,19,18,C 4,12,56,C 5,11,45,C 6,21,68,C 7,7,18
,3200,7,C 1,11,46,C 2,7,31,C 3,2,66,C 4,19,18,C 5,12,56,C 6,21,68,C 7,7,18
,4000,7,C 1,16,18,C 2,2,66,C 3,8,33,C 4,21,68,C 5,11,45,C 6,12,56,C 7,5,22
,4800,7,C 1,8,33,C 2,2,66,C 3,19,18,C 4,21,68,C 5,15,41,C 6,7,19,C 7,12,56
,5600,7,C 1,2,66,C 2,19,18,C 3,8,33,C 4,21,68,C 5,16,41,C 6,7,19,C 7,12,56
,6400,7,C 1,3,66,C 2,20,17,C 3,8,30,C 4,22,68,C 5,11,45,C 6,7,18,C 7,12,56
,7200,7,C 1,3,66,C 2,20,17,C 3,8,30,C 4,11,45,C 5,22,68,C 6,10,19,C 7,12,56
,8000,7,C 1,3,66,C 2,20,17,C 3,8,30,C 4,11,45,C 5,22,68,C 6,12,56,C 7,10,19
,8800,7,C 1,8,30,C 2,3,66,C 3,20,17,C 4,11,45,C 5,22,68,C 6,7,19,C 7,12,56
