 ,Object1,Object2,Object3,Object4,,,,,,,,,,,,,,,
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,37,113
,16,12,48,109,,22,17,42,109,,22,20,45,109,,17,15,34,110
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,38,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,36,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,37,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,36,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,37,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,36,114
,16,12,48,109,,22,17,42,108,,22,20,45,109,,17,15,33,111
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,37,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,35,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,36,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,37,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,38,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,39,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,113
,14,10,51,112,,20,15,45,112,,20,18,49,112,,15,12,37,115
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,12,36,115
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,36,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,12,37,115
,14,10,51,112,,20,15,45,111,,20,18,49,112,,15,13,39,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,40,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,40,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,37,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,38,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,38,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,14,13,37,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,39,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,39,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,38,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,35,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,12,36,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,38,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,37,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,38,114
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,13,36,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,15,13,36,113
,14,10,51,112,,20,15,45,111,,20,18,49,112,,14,13,36,113
,14,10,51,112,,20,15,45,111,,20,18,49,112,,14,13,37,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,37,113
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,36,114
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,35,113
,14,10,51,112,,20,15,45,112,,20,18,48,112,,14,12,37,115
,14,10,51,112,,20,15,45,111,,20,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,14,13,51,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,112,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,112,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,14,13,51,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,113,,21,18,48,112,,14,13,51,114
,14,10,51,112,,20,15,45,112,,21,18,48,112,,15,12,50,115
,14,10,51,112,,20,15,45,113,,21,18,48,112,,15,13,50,114
,14,10,51,112,,20,15,45,112,,21,18,48,112,,15,13,50,114
