 ,Object1,X1,Y1,W1,H1
,,81,30,187,228
,,81,31,187,227
,,81,31,187,227
,,81,31,187,227
,,0,86,173,203
,,0,15,255,201
,,0,14,255,200
,,0,14,255,201
,,0,15,255,201
,,0,12,254,207
,,0,14,255,202
,,0,4,253,229
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,124,0,136,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
,,125,0,135,257
