 ,Object1,X1,Y1,W1,H1,Object2,X2,Y2,W2,H2,Object3,X3,Y3,W3,H3,Object4,X4,Y4,W4,H4
,,17,11,38,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,110,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,16,9,33,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,16,9,33,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,38,109,,16,9,33,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,16,9,33,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,110,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,16,9,33,111,,16,9,33,112,,14,7,37,115
,,17,11,38,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,38,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
,,17,11,37,109,,17,9,32,111,,16,9,33,112,,14,7,37,115
