 ,Object1,X1,Y1,W1,H1
,,20,22,152,160
,,20,22,152,160
,,20,22,152,160
,,20,22,152,160
,,20,22,152,160
,,39,30,136,141
,,39,30,136,141
,,39,30,136,141
,,39,30,135,141
,,39,30,136,141
,,39,30,136,141
,,39,30,135,141
,,39,30,135,141
,,39,30,136,141
,,39,30,136,141
,,39,30,135,141
,,39,30,135,141
,,39,30,136,141
,,39,30,135,141
,,39,30,136,141
,,39,30,135,141
,,39,30,136,141
,,39,30,136,141
,,39,30,135,141
,,39,30,136,141
,,39,30,135,141
,,39,30,135,141
,,39,30,136,141
,,39,30,136,141
,,39,30,136,141
