Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_center_x,Roi1_center_y
1,,7,2,21.5,34.5
2,,7,2,21.5,34.5
3,,6,1,21.0,34.0
4,,6,1,21.0,34.0
5,,6,1,21.0,34.0
6,,6,1,21.0,34.0
7,,6,1,21.0,34.0
8,,6,1,21.0,34.0
9,,7,1,21.5,34.0
10,,6,1,21.0,34.0
11,,6,1,21.0,34.0
12,,6,2,21.0,34.5
13,,6,2,21.0,34.5
14,,6,2,21.0,34.5
15,,6,2,21.0,34.5
16,,6,2,21.0,34.5
17,,6,2,21.0,34.5
18,,6,2,21.0,34.5
19,,6,2,21.0,34.5
20,,6,2,21.0,34.5
21,,6,2,21.0,34.5
22,,6,2,21.0,34.5
23,,6,2,21.0,34.5
24,,7,2,21.5,34.5
25,,7,1,21.5,34.0
26,,7,1,21.5,34.0
27,,7,1,21.5,34.0
28,,7,2,21.5,34.5
29,,7,2,21.5,34.5
30,,7,2,21.5,34.5
31,,8,3,22.0,35.0
32,,8,3,22.0,35.0
33,,8,3,22.0,35.0
34,,7,2,21.5,34.5
35,,7,2,21.5,34.5
36,,6,2,21.0,34.5
37,,7,2,21.5,34.5
38,,7,2,21.5,34.5
39,,7,2,21.5,34.5
40,,7,2,21.5,34.5
41,,7,2,21.5,34.5
42,,7,2,21.5,34.5
43,,7,2,21.5,34.5
44,,7,2,21.5,34.5
45,,7,2,21.5,34.5
46,,7,2,21.5,34.5
47,,7,1,21.5,34.0
48,,6,1,21.0,34.0
49,,6,1,21.0,34.0
50,,6,1,21.0,34.0
51,,6,1,21.0,34.0
52,,6,1,21.0,34.0
53,,6,1,21.0,34.0
54,,6,1,21.0,34.0
55,,6,1,21.0,34.0
56,,7,1,21.5,34.0
57,,8,1,22.0,34.0
58,,8,1,22.0,34.0
59,,7,1,21.5,34.0
60,,7,2,21.5,34.5
61,,7,2,21.5,34.5
62,,6,2,21.0,34.5
63,,6,2,21.0,34.5
64,,6,2,21.0,34.5
65,,6,2,21.0,34.5
66,,6,2,21.0,34.5
67,,6,2,21.0,34.5
68,,6,2,21.0,34.5
69,,8,3,22.0,35.0
70,,7,2,21.5,34.5
71,,7,2,21.5,34.5
72,,8,3,22.0,35.0
73,,8,3,22.0,35.0
74,,8,3,22.0,35.0
75,,7,2,21.5,34.5
76,,7,2,21.5,34.5
77,,7,2,21.5,34.5
78,,6,1,21.0,34.0
79,,6,1,21.0,34.0
80,,6,1,21.0,34.0
81,,6,1,21.0,34.0
82,,6,2,21.0,34.5
83,,6,2,21.0,34.5
84,,8,3,22.0,35.0
85,,8,3,22.0,35.0
86,,8,3,22.0,35.0
87,,8,3,22.0,35.0
88,,8,3,22.0,35.0
89,,8,1,22.0,34.0
