Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,9,17,22,52,,21,22,14,44,,12,43,14,20,,17,18,16,62
1600,,9,17,22,52,,21,22,14,44,,13,43,13,21,,18,18,15,61
2400,,10,17,21,52,,21,23,14,31,,18,43,8,21,,17,18,16,62
3200,,10,18,21,51,,21,21,14,33,,18,43,8,20,,17,18,16,62
4000,,11,16,20,52,,21,21,15,33,,14,43,12,20,,18,18,15,61
4800,,11,17,21,52,,21,21,14,45,,14,43,12,20,,18,18,15,62
5600,,11,17,21,52,,21,22,14,44,,14,43,12,20,,18,18,15,62
6400,,11,16,21,53,,21,22,14,44,,14,42,12,21,,18,18,15,61
7200,,11,16,21,53,,21,22,14,44,,9,1,27,10,,18,18,15,61
8000,,11,17,21,51,,21,22,15,44,,18,41,8,22,,18,18,15,61
8800,,11,17,21,51,,21,21,15,45,,14,43,12,20,,18,18,15,61
