Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,46,101,6,12,,12,101,4,7,,23,98,6,16,,24,89,5,16
1600,,46,101,6,12,,8,99,45,9,,21,98,8,16,,24,88,5,17
2400,,46,101,6,12,,9,99,19,9,,22,98,7,16,,24,89,5,16
3200,,46,101,6,12,,8,99,22,9,,22,98,7,16,,24,89,5,16
4000,,46,101,6,12,,8,99,22,9,,22,98,7,16,,24,89,5,16
4800,,46,101,6,12,,8,99,20,9,,23,98,6,16,,24,88,5,17
5600,,46,101,6,12,,12,101,4,7,,23,98,6,16,,24,89,4,16
6400,,46,101,6,12,,12,101,4,7,,23,98,6,16,,24,89,5,16
7200,,46,101,6,12,,12,101,4,7,,23,98,6,16,,23,88,6,17
8000,,46,101,6,12,,12,101,4,7,,23,98,6,16,,23,89,6,16
