Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
1600,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
2400,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
3200,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
4000,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
4800,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
5600,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
6400,,14,11,28,90,,14,11,28,90,,14,11,28,90,,14,11,28,90
7200,,14,11,28,90,,7,10,30,86,,7,10,30,86,,7,10,30,86
8000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
8800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
9600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
10400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
11200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
12000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
12800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
13600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
14400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
15200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
16000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
16800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
17600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
18400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
19200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
20000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
20800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
21600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
22400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
23200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
24000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
24800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
25600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
26400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
27200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
28000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
28800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
29600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
30400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
31200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
32000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
32800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
33600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
34400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
35200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
36000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
36800,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
37600,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
38400,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
39200,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
40000,,7,10,30,86,,7,10,30,86,,7,10,30,86,,7,10,30,86
