Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,7,10,26,75,,7,10,26,75,,7,10,26,75,,9,5,24,85
1600,,9,5,24,85,,9,5,24,85,,9,5,24,85,,9,5,24,85
2400,,9,5,24,85,,9,5,24,85,,9,5,24,85,,9,5,24,85
3200,,9,5,24,85,,9,5,24,85,,9,5,24,85,,9,5,24,85
4000,,9,5,24,85,,9,5,24,85,,9,5,24,85,,9,5,24,85
4800,,9,5,24,85,,9,5,24,85,,9,5,24,85,,8,5,25,84
5600,,8,5,25,84,,8,5,25,84,,8,5,25,84,,8,5,25,84
6400,,8,5,25,84,,8,5,25,84,,8,5,25,84,,8,5,25,84
7200,,8,5,25,84,,8,5,25,84,,8,5,25,84,,8,5,25,84
8000,,8,5,25,84,,8,5,25,84,,8,5,25,84,,8,5,25,84
