Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h,Roi2,Roi2_x,Roi2_y,Roi2_w,Roi2_h,Roi3,Roi3_x,Roi3_y,Roi3_w,Roi3_h,Roi4,Roi4_x,Roi4_y,Roi4_w,Roi4_h
800,,19,21,28,90,,31,19,29,86,,16,12,26,90,,33,26,28,85
1600,,19,21,28,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
2400,,19,21,28,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
3200,,19,21,28,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
4000,,19,21,28,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
4800,,19,21,27,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
5600,,19,21,27,90,,31,19,29,86,,16,12,26,90,,33,26,29,85
6400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
7200,,19,22,27,89,,31,19,30,86,,16,13,26,89,,33,26,29,85
8000,,19,22,27,89,,31,19,29,86,,16,14,26,88,,33,26,29,85
8800,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,29,85
9600,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,85
10400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,28,86
11200,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,86
12000,,19,21,27,90,,31,19,29,86,,16,13,26,89,,33,26,28,85
12800,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,86
13600,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,85
14400,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,86
15200,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,29,86
16000,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,86
16800,,19,22,27,89,,31,19,29,86,,16,13,26,89,,33,26,28,86
17600,,19,22,27,89,,31,19,29,86,,16,14,26,88,,33,26,29,86
18400,,19,22,27,89,,31,19,29,86,,16,14,26,88,,33,26,28,86
19200,,19,22,27,89,,31,19,29,86,,16,14,26,88,,33,26,28,86
20000,,19,22,27,89,,31,19,29,86,,16,14,26,89,,33,26,28,86
20800,,19,22,27,89,,31,19,29,86,,16,14,26,88,,33,26,29,86
21600,,19,22,27,89,,31,19,29,86,,16,14,26,89,,33,26,29,86
22400,,19,22,27,89,,31,19,29,86,,16,14,26,89,,33,26,29,86
23200,,19,22,27,89,,31,19,29,86,,16,14,26,89,,33,26,29,86
24000,,19,22,27,89,,31,19,29,86,,16,14,26,89,,33,26,28,86
24800,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
25600,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,28,86
26400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
27200,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
28000,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
28800,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
29600,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
30400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
31200,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
32000,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
32800,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
33600,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
34400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
35200,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
36000,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
36800,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
37600,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
38400,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
39200,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
40000,,19,23,27,88,,31,19,29,86,,16,14,26,89,,33,26,29,86
