Lap Nr,Point 1,X,Y
1,0,627.01074,477.99313
2,0,627.0041,477.9906
3,0,627.0085,477.9915
4,0,627.01245,477.99118
5,0,627.011,477.991
6,0,627.0109,477.99084
7,0,627.0055,477.99103
8,0,627.0084,477.9891
9,0,627.0085,477.98874
10,0,627.00916,477.98407
11,0,627.00977,477.98138
12,0,627.00555,477.9667
13,0,627.00555,477.9667
14,0,627.01184,478.0011
15,0,627.01416,478.00165
16,0,627.0149,477.99985
17,0,627.0078,478.00858
18,0,627.007,478.00775
19,0,627.007,478.00775
20,0,627.01154,478.0016
21,0,627.0135,477.99753
22,0,627.01337,477.99734
23,0,627.0135,477.9973
24,0,627.0006,477.999
25,0,627.0006,477.999
26,0,627.0006,477.999
27,0,626.99756,477.99994
28,0,626.9966,478.00482
29,0,626.99585,478.00476
30,0,626.9886,478.00568
31,0,626.9902,478.00537
32,0,626.9889,478.00436
33,0,626.9889,478.00436
34,0,627.0022,477.997
35,0,627.0032,477.99554
36,0,627.0036,477.99408
37,0,627.0052,478.001
38,0,627.00256,477.99905
39,0,627.00385,478.00134
40,0,626.99963,477.99878
41,0,626.99835,477.99802
42,0,626.99835,477.99802
43,0,626.99835,477.99802
44,0,627.0066,477.99335
45,0,627.0092,477.99002
46,0,627.0108,477.98904
47,0,627.0029,477.99188
48,0,627.0018,478.0069
49,0,627.0018,478.0069
50,0,627.011,478.00198
51,0,627.01135,478.0015
52,0,627.0112,478.0012
53,0,627.0112,478.00113
54,0,627.00696,477.99744
55,0,627.00726,477.99728
56,0,627.00726,477.99728
57,0,627.0115,478.0021
58,0,627.0122,477.99847
59,0,627.0122,477.99847
60,0,627.0095,477.98764
61,0,627.0095,477.98767
62,0,627.0095,477.98767
63,0,627.0095,477.98767
64,0,627.00775,477.99103
65,0,627.01215,477.98938
66,0,627.01,477.98856
67,0,627.0047,477.98654
68,0,627.00543,477.98666
69,0,627.0062,477.98596
70,0,627.0044,477.98608
71,0,627.0072,477.98557
72,0,627.0175,477.98734
73,0,627.0175,477.98734
74,0,627.0216,477.99408
75,0,627.02216,477.99515
76,0,627.02216,477.99515
77,0,627.02246,477.9884
78,0,627.02264,477.9883
79,0,627.02264,477.9883
80,0,627.02057,477.99762
81,0,627.0202,477.99966
82,0,627.02057,477.9986
83,0,627.02057,477.9986
84,0,627.01556,477.9783
85,0,627.01556,477.9783
86,0,627.01556,477.9783
87,0,627.0109,477.9489
88,0,627.0192,477.94415
89,0,627.0199,477.94583
90,0,627.0199,477.94583
91,0,626.9968,477.9776
92,0,626.9991,477.9779
93,0,626.9991,477.9779
94,0,627.02014,477.92987
95,0,627.02094,477.92776
96,0,627.04297,477.90652
97,0,627.0173,477.93945
98,0,627.01697,477.9385
99,0,627.01666,477.93796
100,0,627.0167,477.93912
101,0,627.011,477.95682
102,0,627.0105,477.95868
103,0,627.01044,477.95874
104,0,627.0315,477.93503
105,0,627.0288,477.93436
106,0,627.02924,477.93488
107,0,627.02924,477.935
108,0,627.0197,477.93335
109,0,627.0197,477.93335
110,0,627.0197,477.93335
111,0,627.02423,477.90192
112,0,627.02246,477.90262
113,0,627.0246,477.9034
114,0,627.02783,477.91708
115,0,627.02875,477.9172
116,0,627.0296,477.9177
117,0,627.0296,477.9177
118,0,627.0234,477.90424
119,0,627.02155,477.90747
120,0,627.0302,477.91
121,0,627.035,477.89484
122,0,627.03436,477.89822
123,0,627.0343,477.8983
124,0,627.03436,477.89825
125,0,627.0547,477.92142
126,0,627.0571,477.92007
127,0,627.05725,477.92007
128,0,627.02905,477.96808
129,0,627.0323,477.96964
130,0,627.0323,477.9701
131,0,627.0322,477.96924
132,0,627.0335,477.97107
133,0,627.03357,477.9711
134,0,627.03357,477.97107
135,0,627.027,477.9529
136,0,627.02246,477.95123
137,0,627.022,477.9519
138,0,627.0215,477.9512
139,0,627.0193,477.93878
140,0,627.018,477.9367
141,0,627.0174,477.93674
142,0,627.01984,477.94672
143,0,627.0147,477.94705
144,0,627.0236,477.94882
145,0,627.0236,477.94873
146,0,626.98376,477.9772
147,0,626.9865,477.97482
148,0,626.9865,477.97482
149,0,627.00446,477.97415
150,0,627.0039,477.97113
151,0,627.0029,477.96817
152,0,627.0029,477.96817
153,0,626.98706,477.99826
154,0,626.9858,477.9978
155,0,626.9871,477.99805
156,0,626.99304,477.9646
157,0,626.993,477.96463
158,0,626.99304,477.96463
159,0,626.99304,477.96463
160,0,626.9989,477.97354
161,0,626.9988,477.97424
162,0,626.99817,477.9705
163,0,626.99817,477.9705
164,0,626.9882,477.96613
165,0,626.99207,477.96344
166,0,626.99207,477.96344
167,0,626.98883,477.95795
168,0,626.97485,477.94437
169,0,626.97485,477.9443
170,0,626.97485,477.9443
171,0,626.9733,477.94077
172,0,626.9744,477.94086
173,0,626.9745,477.9409
174,0,626.9745,477.9409
175,0,626.9815,477.9337
176,0,626.98395,477.93292
177,0,626.98413,477.93292
178,0,626.988,477.9507
179,0,626.98676,477.94904
180,0,627.0101,477.95935
181,0,627.0101,477.9594
182,0,627.0051,477.96008
183,0,627.0058,477.9616
184,0,627.00574,477.96164
185,0,627.00574,477.96164
186,0,627.00385,477.96692
187,0,627.00385,477.967
188,0,627.0038,477.96704
189,0,627.0008,477.97543
190,0,627.0016,477.97992
191,0,627.00183,477.9804
192,0,626.99774,477.97128
