Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h
1,,0,0,235,263,,0,0,366,294,,0,0,366,294
2,,0,0,366,294,,0,0,381,294,,0,0,381,294
3,,0,0,381,294,,0,0,381,294,,0,0,381,294
4,,0,0,381,294,,0,0,381,294,,0,0,381,294
5,,0,0,381,294,,0,0,387,294,,0,0,387,294
6,,0,0,387,294,,0,0,387,294,,0,0,387,294
7,,0,0,387,294,,0,0,392,294,,0,0,392,294
8,,0,0,392,294,,0,0,392,294,,0,0,392,294
9,,0,0,392,294,,0,0,392,294,,0,0,392,294
10,,0,0,392,294,,0,0,392,294,,0,0,392,294
11,,0,0,392,294,,0,0,392,294,,0,0,392,294
12,,0,0,392,294,,0,0,392,294,,0,0,392,294
13,,0,0,392,294,,0,0,392,294,,0,0,392,294
14,,0,0,392,294,,0,0,392,294,,0,0,392,294
15,,0,0,392,294,,0,0,392,294,,0,0,392,294
16,,0,0,392,294,,0,0,392,294,,0,0,392,294
17,,0,0,392,294,,0,0,392,294,,0,0,392,294
18,,0,0,392,294,,0,0,392,294,,0,0,392,294
19,,0,0,392,294,,0,0,392,294,,0,0,392,294
20,,0,0,392,294,,0,0,392,294,,0,0,392,294
21,,0,0,392,294,,0,0,392,294,,0,0,392,294
22,,0,0,392,294,,0,0,392,294,,0,0,392,294
23,,0,0,392,294,,0,0,392,294,,0,0,392,294
24,,0,0,392,294,,0,0,392,294,,0,0,392,294
25,,0,0,392,294,,0,0,392,294,,0,0,392,294
26,,0,0,392,294,,0,0,392,294,,0,0,392,294
27,,0,0,392,294,,0,0,392,294,,0,0,392,294
28,,0,0,392,294,,0,0,392,294,,0,0,392,294
29,,0,0,392,294,,0,0,395,294,,0,0,395,294
30,,0,0,395,294,,0,0,395,294,,0,0,395,294
31,,0,0,395,294,,0,0,395,294,,0,0,395,294
32,,0,0,395,294,,0,0,395,294,,0,0,395,294
33,,0,0,395,294,,0,0,395,294,,0,0,395,294
34,,0,0,395,294,,0,0,395,294,,0,0,395,294
35,,0,0,395,294,,0,0,395,294,,0,0,395,294
36,,0,0,395,294,,0,0,395,294,,0,0,395,294
37,,0,0,395,294,,0,0,395,294,,0,0,395,294
38,,0,0,395,294,,0,0,395,294,,0,0,395,294
39,,0,0,395,294,,0,0,395,294,,0,0,395,294
40,,0,0,395,294,,0,0,395,294,,0,0,395,294
41,,0,0,395,294,,0,0,395,294,,0,0,395,294
42,,0,0,395,294,,0,0,398,294,,0,0,398,294
43,,0,0,398,294,,0,0,398,294,,0,0,398,294
44,,0,0,398,294,,0,0,398,294,,0,0,398,294
45,,0,0,398,294,,0,0,398,294,,0,0,398,294
46,,0,0,398,294,,0,0,398,294,,0,0,398,294
47,,0,0,398,294,,0,0,398,294,,0,0,398,294
48,,0,0,398,294,,0,0,398,294,,0,0,398,294
49,,0,0,398,294,,0,0,398,294,,0,0,398,294
50,,0,0,398,294,,0,0,398,294,,0,0,398,294
51,,0,0,398,294,,0,0,398,294,,0,0,398,294
52,,0,0,398,294,,0,0,398,294,,0,0,398,294
53,,0,0,398,294,,0,0,398,294,,0,0,398,294
54,,0,0,398,294,,0,0,398,294,,0,0,398,294
55,,0,0,398,294,,0,0,398,294,,0,0,398,294
56,,0,0,398,294,,0,0,398,294,,0,0,398,294
