Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1,,0,16,418,24
2,,0,17,418,23
3,,0,17,418,23
4,,0,17,418,23
5,,0,17,418,23
6,,0,17,418,23
7,,0,16,418,24
8,,0,16,418,24
9,,0,16,418,24
10,,0,17,418,23
11,,0,17,418,23
12,,0,17,418,23
13,,0,17,418,23
14,,0,17,418,23
15,,0,17,418,23
16,,0,17,418,23
17,,0,17,418,23
18,,0,17,418,23
19,,0,17,418,23
20,,0,16,418,24
21,,0,16,418,24
22,,0,16,418,24
23,,0,16,418,24
24,,0,17,418,23
25,,0,16,418,24
26,,0,16,418,24
27,,0,17,418,23
28,,0,17,418,23
29,,0,16,418,24
30,,0,16,418,24
31,,0,16,418,24
32,,0,16,418,24
33,,0,16,418,24
34,,0,17,418,23
35,,0,17,418,23
36,,0,16,418,24
37,,0,16,418,24
38,,0,16,418,24
39,,0,16,418,24
40,,0,16,418,24
41,,0,16,418,24
42,,0,17,418,23
43,,0,17,418,23
44,,0,17,418,23
45,,0,17,418,23
46,,0,17,418,23
47,,0,17,418,23
48,,0,16,418,24
49,,0,16,418,24
111,,0,16,418,24
112,,0,17,418,23
113,,0,17,418,23
114,,0,17,418,23
115,,0,17,418,23
116,,0,17,418,23
117,,0,17,418,23
118,,0,17,418,23
119,,0,16,418,24
120,,0,17,418,24
121,,0,17,418,24
122,,0,17,418,23
123,,0,17,418,23
124,,0,17,418,23
125,,0,17,418,24
126,,0,17,418,23
127,,0,17,418,23
128,,0,17,418,23
129,,0,17,418,23
130,,0,17,418,23
131,,0,16,418,24
132,,0,17,418,23
133,,0,17,418,23
134,,0,16,418,24
135,,0,16,418,24
136,,0,17,418,23
137,,0,17,418,23
138,,0,17,418,23
139,,0,17,418,23
140,,0,17,418,23
141,,0,17,418,23
142,,0,17,418,23
143,,0,17,418,23
144,,0,16,418,24
145,,0,16,418,24
146,,0,16,418,24
147,,0,16,418,24
148,,0,16,418,24
149,,0,16,418,24
150,,0,17,418,23
151,,0,17,418,23
152,,0,17,418,23
153,,0,16,418,24
154,,0,17,418,23
155,,0,16,418,24
207,,0,17,418,23
208,,0,17,418,23
209,,0,17,418,23
210,,0,17,418,23
211,,0,17,418,23
212,,0,17,418,23
213,,0,17,418,23
214,,0,17,418,23
215,,0,17,418,23
216,,0,17,418,23
217,,0,17,418,23
218,,0,17,418,23
219,,0,17,418,23
220,,0,17,418,23
221,,0,16,418,24
222,,0,16,418,24
223,,0,16,418,24
224,,0,16,418,24
225,,0,17,418,23
226,,0,17,418,23
227,,0,16,418,24
228,,0,17,418,23
229,,0,16,418,24
230,,0,16,418,24
231,,0,16,418,24
232,,0,17,418,23
233,,0,17,418,23
234,,0,17,418,23
235,,0,17,418,23
236,,0,16,418,24
237,,0,17,418,23
238,,0,17,418,23
239,,0,17,418,23
240,,0,16,418,24
241,,0,16,418,24
242,,0,16,418,24
243,,0,16,418,24
244,,0,16,418,24
245,,0,16,418,24
246,,0,16,418,24
247,,0,16,418,24
248,,0,17,418,23
249,,0,16,418,24
250,,0,16,418,24
251,,0,17,418,23
252,,0,16,418,24
253,,0,16,418,24
316,,0,17,418,23
317,,0,17,418,23
318,,0,16,418,24
319,,0,16,418,24
320,,0,16,418,24
321,,0,16,418,24
322,,0,16,418,24
323,,0,16,418,24
324,,0,16,418,24
325,,0,16,418,24
326,,0,16,418,24
327,,0,16,418,24
328,,0,16,418,24
329,,0,16,418,24
330,,0,16,418,24
331,,0,16,418,24
332,,0,16,418,24
333,,0,16,418,24
334,,0,16,418,24
335,,0,16,418,24
336,,0,17,418,23
337,,0,17,418,23
338,,0,17,418,23
339,,0,17,418,23
340,,0,16,418,24
341,,0,16,418,24
342,,0,17,418,23
343,,0,17,418,23
344,,0,17,418,23
345,,0,16,418,24
346,,0,16,418,24
347,,0,16,418,24
348,,0,16,418,24
349,,0,16,418,24
350,,0,16,418,24
351,,0,16,418,24
352,,0,16,418,24
353,,0,16,418,24
354,,0,16,418,24
355,,0,16,418,24
414,,0,17,418,23
415,,0,17,418,23
416,,0,17,418,23
417,,0,17,418,23
418,,0,17,418,23
419,,0,16,418,24
420,,0,17,418,23
421,,0,17,418,23
422,,0,17,418,23
423,,0,17,418,23
424,,0,17,418,23
425,,0,17,418,23
426,,0,17,418,23
427,,0,17,418,23
428,,0,17,418,23
429,,0,17,418,23
430,,0,17,418,23
431,,0,17,418,23
432,,0,17,418,23
433,,0,17,418,23
434,,0,17,418,23
435,,0,16,418,24
436,,0,16,418,24
437,,0,16,418,24
438,,0,17,418,23
439,,0,17,418,23
440,,0,17,418,23
441,,0,16,418,24
442,,0,16,418,24
443,,0,16,418,24
444,,0,16,418,24
445,,0,16,418,24
446,,0,16,418,24
447,,0,17,418,23
448,,0,17,418,23
449,,0,16,418,24
450,,0,16,418,24
451,,0,16,418,24
452,,0,16,418,24
453,,0,16,418,24
454,,0,16,418,24
455,,0,16,418,24
456,,0,16,418,24
512,,0,17,418,23
513,,0,17,418,24
514,,0,17,418,24
515,,0,17,418,23
516,,0,16,418,24
517,,0,16,418,24
518,,0,16,418,24
519,,0,16,418,24
520,,0,16,418,24
521,,0,17,418,23
522,,0,17,418,23
523,,0,17,418,23
524,,0,17,418,23
525,,0,17,418,23
526,,0,17,418,23
527,,0,17,418,23
528,,0,17,418,23
529,,0,17,418,23
530,,0,17,418,23
531,,0,17,418,23
532,,0,17,418,23
533,,0,17,418,23
534,,0,17,418,23
535,,0,17,418,23
536,,0,17,418,23
537,,0,16,418,24
538,,0,17,418,23
539,,0,17,418,23
540,,0,16,418,24
541,,0,16,418,24
542,,0,16,418,24
543,,0,16,418,24
544,,0,16,418,25
545,,0,16,418,25
546,,0,16,418,25
547,,0,16,418,25
548,,0,16,418,24
549,,0,16,418,24
550,,0,16,418,24
551,,0,16,418,24
552,,0,16,418,24
553,,0,16,418,24
554,,0,16,418,24
555,,0,16,418,24
611,,0,17,418,23
612,,0,16,418,24
613,,0,16,418,24
614,,0,16,418,24
615,,0,16,418,24
616,,0,17,418,23
617,,0,16,418,24
618,,0,16,418,24
619,,0,16,418,24
620,,0,16,418,24
621,,0,17,418,23
622,,0,17,418,23
623,,0,17,418,23
624,,0,17,418,24
625,,0,17,418,24
626,,0,16,418,25
627,,0,17,418,24
628,,0,17,418,24
629,,0,17,418,24
