Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,100,20,C 1,68,24,C 2,286,16,C 3,237,18,C 4,346,13,C 5,10,25,C 6,381,12,C 7,138,11,C 8,28,25,C 9,182,30,C 10,367,18,C 11,326,4,C 12,113,23,C 13,316,24,C 14,269,17,C 15,175,21,C 16,357,13,C 17,281,6,C 18,394,21,C 19,395,1,C 20,315,14
,200,20,C 1,69,24,C 2,170,21,C 3,346,13,C 4,184,20,C 5,113,23,C 6,34,25,C 7,238,18,C 8,143,32,C 9,294,15,C 10,129,22,C 11,394,2,C 12,317,24,C 13,269,26,C 14,157,11,C 15,103,12,C 16,371,12,C 17,404,22,C 18,307,4,C 19,12,25,C 20,284,26
,300,20,C 1,75,24,C 2,256,17,C 3,374,12,C 4,229,18,C 5,325,14,C 6,175,21,C 7,277,16,C 8,346,13,C 9,72,14,C 10,370,22,C 11,14,36,C 12,101,24,C 13,287,16,C 14,385,29,C 15,154,31,C 16,309,15,C 17,110,34,C 18,63,24,C 19,56,35,C 20,188,30
,400,20,C 1,69,24,C 2,286,16,C 3,347,13,C 4,112,23,C 5,137,22,C 6,35,25,C 7,396,2,C 8,212,10,C 9,230,29,C 10,21,25,C 11,325,14,C 12,373,4,C 13,223,9,C 14,148,32,C 15,358,3,C 16,178,21,C 17,241,18,C 18,269,26,C 19,354,23,C 20,157,6
,500,20,C 1,68,24,C 2,170,21,C 3,286,16,C 4,348,13,C 5,62,35,C 6,109,23,C 7,180,20,C 8,374,12,C 9,185,30,C 10,298,15,C 11,106,36,C 12,267,17,C 13,333,14,C 14,127,23,C 15,33,16,C 16,241,18,C 17,359,23,C 18,323,23,C 19,11,25,C 20,15,35
,600,20,C 1,68,24,C 2,347,13,C 3,170,21,C 4,286,16,C 5,158,21,C 6,112,23,C 7,14,25,C 8,239,18,C 9,229,29,C 10,88,24,C 11,375,12,C 12,313,15,C 13,130,22,C 14,146,19,C 15,265,17,C 16,363,6,C 17,254,27,C 18,98,13,C 19,321,24,C 20,243,7
,700,20,C 1,68,24,C 2,170,21,C 3,323,14,C 4,22,25,C 5,285,16,C 6,35,25,C 7,104,13,C 8,79,24,C 9,319,24,C 10,239,18,C 11,61,34,C 12,309,15,C 13,342,23,C 14,130,22,C 15,268,26,C 16,367,2,C 17,370,12,C 18,217,8,C 19,145,31,C 20,136,39
,800,20,C 1,69,24,C 2,398,12,C 3,115,23,C 4,293,16,C 5,345,13,C 6,263,17,C 7,228,18,C 8,408,9,C 9,169,21,C 10,195,30,C 11,217,24,C 12,40,25,C 13,28,25,C 14,366,13,C 15,112,12,C 16,205,27,C 17,7,15,C 18,181,20,C 19,320,14,C 20,109,47
,900,20,C 1,68,24,C 2,171,21,C 3,346,13,C 4,195,30,C 5,391,12,C 6,279,16,C 7,33,25,C 8,129,22,C 9,232,18,C 10,368,13,C 11,15,25,C 12,186,24,C 13,321,14,C 14,29,15,C 15,294,15,C 16,309,15,C 17,331,4,C 18,104,8,C 19,256,7,C 20,248,18
,1000,20,C 1,346,13,C 2,69,24,C 3,240,18,C 4,114,23,C 5,170,21,C 6,295,15,C 7,320,24,C 8,138,22,C 9,215,22,C 10,33,25,C 11,382,12,C 12,398,12,C 13,160,30,C 14,89,24,C 15,264,17,C 16,368,13,C 17,286,26,C 18,205,19,C 19,75,34,C 20,317,4
