Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1,,222,5,189,26
2,,222,5,189,26
3,,222,5,189,26
4,,222,5,189,26
5,,222,5,189,26
6,,55,0,356,31
7,,53,0,358,31
8,,52,0,359,31
9,,0,0,411,36
10,,0,0,411,36
11,,88,0,323,35
12,,188,0,215,38
13,,54,0,357,42
14,,54,0,357,46
15,,195,0,216,46
16,,195,0,216,49
17,,195,2,216,47
18,,196,8,215,41
19,,299,9,112,40
20,,299,9,112,40
21,,299,10,112,39
22,,300,10,111,39
23,,298,10,113,39
24,,299,10,112,39
25,,299,10,112,39
26,,300,10,111,39
27,,300,10,111,39
28,,299,10,112,39
29,,299,9,112,40
30,,299,9,112,40
31,,196,9,215,40
32,,195,8,216,41
33,,195,6,216,43
34,,194,0,217,48
35,,189,0,222,46
36,,53,0,358,44
37,,53,0,358,42
38,,187,0,216,37
39,,87,0,319,34
40,,0,0,411,35
41,,0,0,411,37
42,,53,0,358,30
43,,53,0,358,30
44,,221,5,190,26
45,,222,5,189,27
46,,222,6,189,27
47,,222,5,189,27
48,,222,5,189,26
49,,222,5,189,26
50,,222,5,189,26
51,,222,5,189,26
52,,222,5,189,27
53,,222,5,189,27
54,,222,5,189,26
55,,222,5,189,26
56,,222,5,189,26
57,,222,5,189,26
58,,222,5,189,27
59,,222,5,189,27
60,,222,5,189,27
61,,222,5,189,26
62,,222,5,189,26
63,,222,5,189,26
64,,222,5,189,27
65,,222,5,189,27
66,,222,5,189,26
67,,222,5,189,26
68,,222,5,189,26
69,,222,5,189,26
70,,222,5,189,27
71,,222,5,189,27
72,,222,5,189,27
73,,222,5,189,26
74,,222,5,189,26
75,,222,5,189,26
76,,222,5,189,26
77,,222,5,189,27
78,,222,5,189,26
79,,222,5,189,26
80,,222,5,189,26
81,,222,5,189,26
82,,222,5,189,26
83,,222,5,189,26
84,,223,5,188,26
85,,223,5,188,26
86,,222,5,189,26
87,,222,5,189,26
88,,222,5,189,26
89,,222,5,189,26
90,,222,5,189,26
91,,222,5,189,26
92,,222,5,189,26
93,,222,5,189,26
94,,222,5,189,26
95,,222,5,189,26
96,,222,5,189,26
97,,222,5,189,26
98,,222,5,189,26
99,,222,5,189,26
100,,222,5,189,26
101,,222,5,189,26
102,,222,5,189,26
103,,222,5,189,26
104,,222,5,189,26
105,,222,5,189,26
106,,54,0,357,31
107,,53,0,358,31
108,,53,0,358,31
109,,0,0,411,36
110,,0,0,411,36
111,,0,0,411,36
112,,87,0,318,35
113,,185,0,218,38
114,,54,0,357,42
115,,91,0,320,46
116,,195,0,216,49
117,,195,7,216,42
118,,195,8,216,41
119,,299,9,112,40
120,,299,9,112,40
121,,299,10,112,39
122,,299,10,112,39
123,,299,10,112,39
124,,299,10,112,39
125,,299,10,112,39
126,,299,10,112,39
127,,300,10,111,39
128,,299,10,112,39
129,,299,10,112,39
130,,299,10,112,39
131,,299,9,112,40
132,,195,2,216,47
133,,195,0,216,49
134,,195,0,216,48
135,,193,0,218,46
136,,53,0,358,44
137,,53,0,358,41
138,,187,0,224,36
139,,86,0,321,34
140,,0,0,411,35
141,,0,0,411,37
142,,0,0,411,37
143,,53,0,358,30
144,,53,0,358,30
145,,221,5,190,27
146,,222,5,189,27
147,,222,5,189,27
148,,222,5,189,26
149,,222,5,189,25
150,,222,5,189,26
151,,222,5,189,27
152,,222,5,189,27
153,,222,5,189,27
154,,222,5,189,27
155,,222,5,189,26
156,,222,4,189,27
157,,222,5,189,26
158,,222,5,189,27
159,,222,5,189,27
160,,222,5,189,26
161,,222,5,189,26
162,,222,5,189,26
163,,222,5,189,26
164,,222,5,189,27
165,,222,5,189,27
166,,222,5,189,27
167,,222,5,189,26
168,,222,5,189,26
169,,222,5,189,26
170,,222,5,189,27
171,,222,5,189,27
172,,222,5,189,27
173,,222,5,189,27
174,,222,5,189,26
175,,222,5,189,26
176,,222,5,189,26
177,,222,5,189,26
178,,222,5,189,26
179,,222,5,189,26
180,,222,5,189,26
181,,222,5,189,26
182,,222,5,189,26
183,,222,5,189,27
184,,222,5,189,27
185,,222,5,189,26
186,,222,5,189,27
187,,222,5,189,26
188,,222,5,189,26
189,,222,5,189,26
190,,222,5,189,27
191,,222,5,189,27
192,,222,5,189,26
193,,222,5,189,26
194,,222,5,189,26
195,,222,5,189,26
196,,222,5,189,26
197,,222,5,189,26
198,,222,5,189,26
199,,222,5,189,26
200,,222,5,189,26
201,,222,5,189,26
202,,222,5,189,26
203,,222,5,189,26
204,,222,5,189,26
205,,222,5,189,26
206,,222,5,189,26
207,,53,0,358,31
208,,53,0,358,31
209,,0,0,411,36
210,,0,0,411,36
211,,85,0,326,36
212,,86,0,325,36
213,,185,0,219,38
214,,53,0,358,42
215,,89,0,322,46
216,,192,0,219,47
217,,195,0,216,49
218,,299,7,112,42
219,,196,9,215,40
220,,197,9,214,40
221,,299,10,112,39
222,,299,10,112,39
223,,299,10,112,39
224,,299,10,112,39
225,,299,10,112,39
226,,299,10,112,39
227,,299,10,112,39
228,,299,10,112,39
229,,299,10,112,39
230,,299,10,112,39
231,,299,9,112,40
232,,298,9,113,40
233,,195,8,216,41
234,,195,0,216,49
235,,195,0,216,48
236,,194,0,217,45
237,,53,0,358,41
238,,189,0,222,36
239,,85,0,326,34
240,,0,0,411,36
241,,0,0,411,37
242,,0,0,411,37
243,,53,0,358,30
244,,53,0,358,30
245,,221,5,190,27
246,,222,6,189,26
247,,222,5,189,28
248,,222,5,189,27
249,,222,5,189,26
250,,222,5,189,26
251,,222,5,189,26
252,,222,5,189,27
253,,222,5,189,27
254,,222,5,189,27
255,,222,5,189,26
256,,222,5,189,26
257,,222,5,189,26
258,,222,5,189,27
259,,222,5,189,27
260,,222,5,189,27
261,,222,5,189,26
262,,222,5,189,26
263,,222,5,189,26
264,,222,5,189,27
265,,222,5,189,27
266,,222,5,189,27
267,,222,5,189,26
268,,222,5,189,26
269,,222,5,189,26
270,,222,5,189,26
271,,222,5,189,27
272,,222,5,189,26
273,,222,5,189,26
274,,222,5,189,26
275,,222,5,189,26
276,,222,5,189,26
277,,222,5,189,27
278,,222,5,189,27
279,,222,5,189,27
280,,222,5,189,26
281,,222,5,189,26
282,,222,5,189,26
283,,222,5,189,27
284,,222,5,189,27
285,,222,5,189,27
286,,222,5,189,27
287,,222,5,189,26
288,,222,5,189,26
289,,222,5,189,26
290,,222,5,189,26
291,,222,5,189,26
292,,222,5,189,26
293,,222,5,189,26
294,,222,5,189,26
295,,222,5,189,26
296,,222,5,189,26
297,,222,5,189,26
298,,222,5,189,26
299,,222,5,189,26
300,,222,5,189,26
301,,222,5,189,26
302,,222,5,189,26
303,,222,5,189,26
304,,222,5,189,26
305,,222,5,189,26
306,,221,5,190,26
307,,55,0,356,31
308,,53,0,358,31
309,,52,0,359,31
310,,0,0,411,36
311,,0,0,411,36
312,,184,0,220,35
313,,185,0,219,38
314,,53,0,358,43
315,,89,0,322,46
316,,195,0,216,47
317,,195,0,216,49
318,,195,7,216,42
319,,196,9,215,40
320,,299,9,112,40
321,,299,9,112,40
322,,299,10,112,39
323,,299,10,112,39
324,,299,10,112,39
325,,299,10,112,39
326,,299,10,112,39
327,,299,10,112,39
328,,299,10,112,39
329,,299,10,112,39
330,,299,9,112,40
331,,298,9,113,40
332,,298,9,113,40
333,,297,8,114,41
334,,195,0,216,49
335,,195,2,216,46
336,,194,0,217,45
337,,53,0,358,44
338,,53,0,358,41
339,,188,0,223,36
340,,87,0,324,34
341,,0,0,411,36
342,,0,0,411,37
343,,53,0,358,30
