Lap Nr,Point 1,X,Y
1,0,418.02084,467.0112
2,0,418.02103,467.0121
3,0,418.01477,467.00912
4,0,418.01447,467.00873
5,0,418.0145,467.00876
6,0,418.0145,467.00876
7,0,418.0139,467.0053
8,0,418.0146,467.00983
9,0,418.01633,467.0184
10,0,418.01453,467.01782
11,0,418.01453,467.01785
12,0,418.01343,467.0264
13,0,418.00354,467.02426
14,0,418.00378,467.02252
15,0,418.00378,467.02252
16,0,418.00934,467.0132
17,0,418.0093,467.0132
18,0,418.00946,467.01328
19,0,418.00742,467.00815
20,0,418.00723,467.0073
21,0,418.00723,467.0073
22,0,418.0166,467.0148
23,0,418.0166,467.0148
24,0,418.00586,467.0225
25,0,417.9951,467.03018
26,0,417.99625,467.03018
27,0,417.99625,467.03018
28,0,418.00046,467.02032
29,0,418.00037,467.02014
30,0,418.00037,467.0201
31,0,418.01242,467.02386
32,0,418.01172,467.02545
33,0,418.0117,467.0255
34,0,418.0168,467.0292
35,0,418.0149,467.02042
36,0,417.9999,467.01453
37,0,417.99536,467.01227
38,0,417.9948,467.01517
39,0,417.99515,467.01694
40,0,417.99515,467.01694
41,0,418.01962,467.06534
42,0,418.01996,467.06543
43,0,418.01996,467.0654
44,0,417.9905,467.054
45,0,417.9909,467.05923
46,0,417.98984,467.05725
47,0,417.99072,467.0272
48,0,417.9907,467.02002
49,0,417.9907,467.02002
50,0,417.9852,467.02393
51,0,417.98544,467.02435
52,0,417.98535,467.02426
53,0,417.98877,467.01364
54,0,417.9887,467.01355
55,0,417.9887,467.01355
56,0,418.0052,467.08224
57,0,418.00534,467.08145
58,0,418.00534,467.08145
59,0,417.9874,467.03046
60,0,417.98224,467.02402
61,0,417.98224,467.02402
62,0,417.9914,466.98962
63,0,417.9905,466.9904
64,0,417.9906,466.99045
65,0,417.9906,466.99045
66,0,418.00052,467.02097
67,0,418.0022,467.02045
68,0,418.0027,467.02048
69,0,418.0024,467.05963
70,0,418.0016,467.05994
71,0,418.00208,467.06024
72,0,418.02057,467.0621
73,0,418.02057,467.0621
74,0,418.02057,467.0621
75,0,418.00882,467.05728
76,0,418.0093,467.0567
77,0,418.0093,467.0567
78,0,418.01788,466.9407
79,0,418.01907,466.9404
80,0,418.01907,466.9404
81,0,418.01907,466.9404
82,0,418.02637,467.01968
83,0,418.02286,467.0183
84,0,418.00806,467.0283
85,0,418.023,467.05695
86,0,418.02344,467.05768
87,0,418.02344,467.05774
88,0,417.99875,467.03055
89,0,417.9987,467.03073
90,0,417.9987,467.03073
91,0,418.00775,467.01196
92,0,418.0078,467.011
93,0,418.00708,467.01108
94,0,418.00708,467.01108
95,0,417.99445,466.98837
96,0,417.98178,466.9906
97,0,417.98178,466.9906
98,0,418.01132,466.97702
99,0,418.01263,466.97726
100,0,418.01282,466.977
101,0,418.01743,467.02216
102,0,418.0172,467.02182
103,0,418.01453,467.0201
104,0,418.01453,467.0201
105,0,418.02127,466.9771
106,0,418.02557,466.976
107,0,418.0256,466.97598
108,0,418.05087,467.0074
109,0,418.0507,467.00745
110,0,418.0507,467.00754
111,0,418.04767,467.0082
112,0,418.04358,467.00607
113,0,418.04193,467.0054
114,0,418.04553,467.0031
115,0,418.04965,466.9983
116,0,418.04962,466.99802
117,0,418.0497,466.998
118,0,418.0615,467.07977
119,0,418.0615,467.07867
120,0,418.05716,467.0856
121,0,418.04904,467.0497
122,0,418.0493,467.05228
123,0,418.04922,467.05225
124,0,418.04926,467.0523
125,0,418.06174,467.15033
126,0,418.05978,467.14996
127,0,418.05988,467.14996
128,0,418.10876,467.4104
129,0,418.10776,467.41104
130,0,418.10757,467.41058
131,0,418.2351,467.28317
132,0,418.2257,467.28232
133,0,418.2252,467.28238
134,0,418.2252,467.28238
135,0,418.06192,469.08047
136,0,418.063,469.08136
137,0,418.06293,469.0812
138,0,417.61844,473.89825
139,0,417.61826,473.89865
140,0,417.61832,473.89856
141,0,417.93964,478.609
142,0,417.939,478.61008
143,0,417.9393,478.60995
144,0,417.94208,478.6001
145,0,417.99542,482.1535
146,0,417.9965,482.15463
147,0,417.99597,482.1547
148,0,418.1721,484.65833
149,0,418.172,484.65735
150,0,418.172,484.65735
151,0,418.172,484.65735
152,0,418.28482,486.29288
153,0,418.2864,486.2928
154,0,418.28625,486.29276
155,0,418.30856,486.39337
156,0,418.31793,486.41504
157,0,418.318,486.41516
158,0,418.31808,486.41522
159,0,418.30313,485.2777
160,0,418.3012,485.28183
161,0,418.30127,485.2819
162,0,418.3712,483.45377
163,0,418.36957,483.45325
164,0,418.36884,483.45364
165,0,418.33136,479.85138
166,0,418.33136,479.85193
167,0,418.33084,479.85266
168,0,418.31653,479.8554
169,0,418.29282,475.17987
170,0,418.29556,475.17776
171,0,418.29626,475.17776
172,0,418.31323,470.44336
173,0,418.31152,470.44394
174,0,418.31158,470.44415
175,0,418.31155,470.44418
176,0,418.41476,467.98236
177,0,418.41782,467.98315
178,0,418.41953,467.9841
179,0,418.37482,467.59216
180,0,418.363,467.59085
181,0,418.363,467.59085
182,0,418.363,467.59085
183,0,418.34137,466.9572
184,0,418.33978,466.95947
185,0,418.3408,466.9605
186,0,418.32828,466.9955
187,0,418.32855,466.99722
188,0,418.32837,466.9972
189,0,418.32837,466.9972
190,0,418.3046,466.6946
191,0,418.30643,466.69644
192,0,418.30832,466.70068
193,0,418.40454,466.5622
194,0,418.40292,466.5614
195,0,418.40295,466.5602
196,0,418.53415,466.64703
197,0,418.535,466.64572
198,0,418.5352,466.64554
199,0,418.53522,466.64584
200,0,418.61905,466.83676
201,0,418.61676,466.8352
