Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
1600,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
2400,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
3200,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
4000,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
4800,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
5600,,0,16,21,52,,0,16,21,52,,0,16,21,52,,0,16,21,52
6400,,1,15,21,53,,1,15,21,53,,1,15,21,53,,1,15,21,53
7200,,1,15,21,53,,1,15,21,53,,1,15,21,53,,1,15,21,53
8000,,1,15,21,53,,1,15,21,53,,1,15,21,53,,1,15,21,53
8800,,1,15,21,53,,1,15,21,53,,1,15,21,53,,1,15,21,53
