Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_center_x,Roi1_center_y
1,,451,317,465.0,331.0
2,,451,317,465.0,331.0
3,,451,317,465.0,331.0
4,,451,317,465.5,331.0
5,,451,317,465.0,331.0
6,,451,317,465.0,331.0
7,,451,317,465.0,331.0
8,,451,317,465.0,331.0
9,,451,317,465.0,331.0
10,,451,317,465.0,331.0
11,,447,317,461.0,331.0
12,,429,317,444.0,331.0
13,,407,315,421.0,329.0
14,,377,313,393.0,327.0
15,,353,309,368.0,324.0
16,,319,303,335.0,317.0
17,,287,295,303.0,310.0
18,,259,287,276.0,302.0
19,,231,275,247.0,290.0
20,,213,265,229.0,281.0
21,,193,251,208.0,268.0
22,,177,237,191.0,254.0
23,,153,219,175.0,238.0
24,,145,203,162.0,223.0
25,,143,191,157.0,210.0
26,,145,175,156.0,194.0
27,,145,161,155.0,178.0
28,,145,147,156.0,164.0
29,,149,135,162.0,151.0
30,,155,125,167.0,140.0
31,,167,113,178.0,126.0
32,,177,99,189.0,111.0
33,,193,87,204.0,98.0
34,,205,77,216.5,88.0
35,,223,63,234.0,75.0
36,,239,53,251.5,64.0
37,,261,45,271.0,55.0
38,,285,35,294.0,48.0
39,,303,31,313.0,39.0
40,,329,23,338.0,32.0
41,,355,17,363.0,25.0
42,,379,13,387.0,21.0
43,,399,9,407.0,17.0
44,,423,3,432.0,12.5
45,,449,1,458.0,10.0
46,,475,1,483.5,10.0
47,,501,0,509.0,8.5
48,,523,0,531.0,8.5
49,,545,1,554.0,10.0
50,,571,3,580.0,12.0
51,,597,5,606.0,14.0
52,,621,9,630.0,19.0
53,,639,13,648.0,22.0
54,,661,17,671.0,27.0
55,,683,23,693.0,34.0
56,,703,31,714.0,41.0
57,,719,37,730.0,47.0
58,,737,45,748.0,56.0
59,,753,55,765.0,66.0
60,,773,65,784.0,77.0
61,,787,77,799.0,89.0
62,,797,85,808.0,98.0
63,,809,97,821.0,111.0
64,,819,111,831.0,125.0
65,,825,125,837.0,139.0
66,,829,135,840.0,151.0
67,,831,147,842.0,162.0
68,,829,161,841.0,177.0
69,,825,177,837.0,192.0
70,,817,191,831.0,206.0
71,,809,203,823.0,218.0
72,,795,217,810.0,232.0
73,,779,233,795.0,249.0
74,,757,247,774.0,263.0
75,,735,263,751.0,278.0
76,,711,273,728.0,287.0
77,,679,285,696.0,300.0
78,,643,295,659.0,310.0
79,,605,305,620.0,319.0
80,,561,313,576.0,326.0
81,,521,315,536.0,329.0
82,,467,319,483.0,332.0
83,,415,317,431.0,331.0
84,,365,313,381.0,327.0
85,,325,307,341.0,321.0
86,,279,295,296.0,309.0
87,,243,281,259.0,296.0
88,,209,263,226.0,279.0
89,,183,243,198.0,260.0
90,,167,229,182.0,245.0
91,,145,205,162.0,224.0
92,,145,183,157.0,202.0
93,,143,159,154.0,179.0
94,,145,143,157.0,159.0
95,,151,131,163.0,146.0
96,,163,113,175.0,126.0
97,,181,95,193.0,109.0
98,,201,79,213.0,91.0
99,,219,65,231.0,76.0
100,,245,51,257.0,62.0
101,,273,39,284.0,48.5
102,,305,29,315.0,38.0
103,,339,19,348.0,28.0
104,,367,14,375.0,22.5
105,,401,9,409.0,17.0
106,,435,3,443.0,12.0
107,,469,1,477.0,9.0
108,,505,0,513.0,8.5
109,,533,0,541.0,8.5
110,,569,1,577.0,11.0
111,,601,5,610.0,15.0
112,,633,11,642.0,21.0
113,,659,17,668.0,27.0
114,,687,27,698.0,36.0
115,,717,35,726.0,46.0
116,,741,47,752.0,58.0
117,,763,61,775.0,72.0
118,,781,73,792.0,84.0
119,,799,87,811.0,101.0
120,,815,105,827.0,118.0
121,,825,123,836.0,137.0
122,,831,141,841.0,155.0
123,,831,157,842.0,172.0
124,,825,177,838.0,193.0
125,,813,197,827.0,213.0
126,,795,217,810.0,233.0
127,,777,235,793.0,250.0
128,,747,255,764.0,270.0
129,,711,273,728.0,288.0
130,,667,291,684.0,305.0
131,,617,303,633.0,316.0
132,,571,311,587.0,324.0
133,,507,319,522.0,332.0
134,,437,319,453.0,332.0
135,,369,315,386.0,328.0
136,,305,303,322.0,317.0
137,,263,289,279.0,304.0
138,,217,269,232.0,284.0
139,,181,241,196.0,258.0
140,,149,211,167.0,231.0
141,,145,189,158.0,208.0
142,,143,165,154.0,183.0
143,,145,141,157.0,156.0
144,,159,117,171.0,131.0
145,,183,95,194.0,107.0
146,,203,77,215.0,88.0
147,,235,57,247.0,67.0
148,,271,43,280.0,51.0
149,,313,27,321.0,36.0
150,,357,17,364.0,25.0
151,,395,11,402.0,18.0
152,,439,5,447.0,12.0
153,,487,0,495.0,8.5
154,,533,1,541.0,9.0
155,,569,3,578.0,11.0
156,,613,9,622.0,18.0
157,,655,17,665.0,26.0
158,,695,29,705.0,39.0
159,,731,41,742.0,52.0
160,,755,57,767.0,67.0
161,,783,75,795.0,87.0
162,,807,97,819.0,110.0
163,,825,119,836.0,133.0
164,,831,143,842.0,158.0
165,,831,165,842.0,181.0
166,,819,191,832.0,208.0
167,,795,219,810.0,235.0
168,,761,247,777.0,262.0
169,,725,267,742.0,282.0
170,,671,289,688.0,303.0
