Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_center_x,Roi1_center_y
1,,654,286,662.0,294.0
2,,653,284,661.5,293.0
3,,653,284,661.5,293.0
4,,654,284,662.0,293.0
5,,654,284,662.0,293.0
6,,653,284,661.5,293.0
7,,653,284,661.5,293.0
8,,654,284,662.0,293.0
9,,654,284,662.0,293.0
10,,654,284,662.0,293.0
11,,654,284,662.0,293.0
12,,654,286,662.0,294.0
13,,654,286,662.0,294.0
14,,653,286,661.5,294.0
15,,653,286,661.5,294.0
16,,653,286,661.5,294.0
17,,653,286,661.5,294.0
18,,653,286,661.5,294.0
19,,653,286,661.5,294.0
20,,653,286,661.5,294.0
21,,653,286,661.5,294.0
22,,653,286,661.5,294.0
23,,653,286,661.5,294.0
24,,654,286,661.0,294.0
25,,654,286,661.0,294.0
26,,653,294,660.5,303.0
27,,654,306,661.0,315.0
28,,652,326,660.0,335.0
29,,650,352,657.0,360.0
30,,646,370,653.0,378.0
31,,638,394,645.0,402.0
32,,630,412,637.0,420.0
33,,618,436,625.0,444.0
34,,607,452,614.5,460.0
35,,590,474,597.0,481.0
36,,572,492,579.0,500.0
37,,558,506,565.0,514.0
38,,536,521,544.0,528.5
39,,520,530,528.0,538.0
40,,496,542,504.0,550.0
41,,467,550,477.5,559.0
42,,446,556,456.5,565.0
43,,414,558,425.0,568.0
44,,392,562,403.0,571.0
45,,362,562,374.0,571.0
46,,342,562,353.0,571.0
47,,316,556,326.0,565.0
48,,290,548,301.0,557.0
49,,270,540,281.0,549.0
50,,244,526,255.0,537.0
51,,224,512,235.0,523.0
52,,200,494,211.0,505.0
53,,184,480,195.0,491.0
54,,164,460,174.0,471.0
55,,148,438,158.0,449.0
56,,138,420,148.0,431.0
57,,126,396,136.0,407.0
58,,118,376,128.0,388.0
59,,110,348,119.0,359.0
60,,106,318,115.0,329.0
61,,104,298,113.0,308.0
62,,106,268,114.0,279.0
63,,108,246,117.0,257.0
64,,114,218,123.0,229.0
65,,122,198,131.0,208.0
66,,134,172,143.0,182.0
67,,150,148,159.0,157.0
68,,160,132,170.0,141.0
69,,176,114,186.0,123.0
70,,192,100,201.0,109.0
71,,212,84,221.0,93.0
72,,234,68,243.0,77.0
73,,250,60,259.0,69.0
74,,274,48,282.0,57.0
75,,292,42,299.0,51.0
76,,318,36,324.0,44.0
77,,340,34,345.5,41.0
78,,366,30,373.0,37.0
79,,392,30,399.0,39.0
80,,412,32,419.5,40.0
81,,440,38,447.0,46.0
82,,460,43,468.0,51.5
83,,484,52,492.0,61.0
84,,512,62,519.0,72.0
85,,530,77,537.0,85.5
86,,554,92,562.0,102.0
87,,570,106,578.0,116.0
88,,588,126,597.0,135.5
89,,604,140,613.0,150.0
90,,616,164,625.0,173.0
91,,628,186,634.0,195.0
92,,634,202,642.0,211.0
93,,644,226,651.0,235.0
94,,648,244,656.0,254.0
95,,652,268,660.0,277.0
96,,653,286,660.5,295.0
97,,654,312,661.0,321.0
98,,652,340,659.0,348.0
99,,648,360,655.0,368.0
100,,640,386,647.0,394.0
101,,634,404,641.0,412.0
102,,622,429,629.0,436.5
103,,608,451,615.0,458.5
104,,596,466,603.0,474.0
105,,579,486,586.0,493.0
106,,565,500,571.5,507.0
107,,544,516,552.0,523.0
108,,529,524,536.5,532.0
109,,506,536,515.0,544.0
110,,480,548,489.0,556.0
111,,452,554,463.0,563.0
112,,416,560,428.0,569.0
113,,388,562,400.0,571.0
114,,352,562,364.0,571.0
115,,316,556,328.0,565.0
116,,292,548,304.0,558.0
117,,258,534,269.0,544.0
118,,232,518,243.0,529.0
119,,200,496,211.0,507.0
120,,180,476,192.0,487.0
121,,156,448,168.0,459.0
122,,136,416,146.0,428.0
123,,124,390,134.0,402.0
124,,112,353,121.0,364.5
125,,106,324,115.0,336.0
126,,104,286,113.0,298.0
127,,108,250,116.0,261.0
128,,114,220,123.0,232.0
129,,126,186,135.0,197.0
130,,138,162,148.0,172.0
131,,160,134,169.0,143.0
132,,176,112,186.0,122.0
133,,202,88,213.0,98.0
134,,232,68,242.0,77.5
135,,254,58,264.0,66.0
136,,286,44,294.0,52.0
137,,312,42,318.0,47.0
138,,350,32,356.0,39.5
139,,382,30,389.0,37.0
140,,410,30,417.0,38.0
141,,446,38,453.0,45.5
142,,472,46,479.5,54.0
143,,504,62,512.0,72.0
144,,528,76,537.0,85.0
145,,560,98,567.0,107.0
146,,586,122,594.0,132.0
147,,604,142,613.0,152.0
148,,620,172,627.0,181.0
149,,632,194,639.0,204.0
150,,644,224,651.0,234.0
151,,650,248,657.0,258.0
152,,653,280,659.5,290.0
153,,654,314,660.0,325.0
154,,650,342,657.0,352.0
155,,642,378,649.0,387.0
156,,634,402,640.0,411.0
157,,616,438,623.0,447.0
158,,592,470,599.0,478.0
159,,570,492,578.0,501.0
160,,536,520,545.0,528.0
161,,506,536,516.0,544.0
162,,462,551,473.0,559.5
163,,426,558,438.0,568.0
164,,376,562,389.0,571.0
165,,328,560,341.0,569.0
166,,296,550,308.0,559.0
167,,250,530,263.0,541.0
168,,220,510,232.0,521.0
169,,182,478,193.0,490.0
170,,150,442,161.0,456.0
171,,134,410,144.0,423.0
172,,116,366,126.0,379.0
173,,107,330,116.5,343.0
174,,104,282,113.0,294.0
175,,106,246,115.0,259.0
176,,120,200,129.0,212.0
177,,140,158,150.0,169.0
178,,160,130,170.0,141.0
179,,192,98,203.0,108.0
180,,220,78,230.0,86.0
181,,258,54,269.0,63.0
182,,300,44,307.0,50.0
183,,188,470,191.0,473.0
184,,380,30,387.0,37.0
185,,414,32,422.0,41.0
186,,462,44,469.0,52.0
187,,494,55,501.0,63.5
188,,534,80,542.0,89.0
189,,572,108,581.0,118.0
190,,596,134,605.0,143.0
191,,620,172,626.0,181.0
192,,636,200,642.0,210.0
193,,648,240,654.0,251.0
194,,654,272,660.0,283.0
195,,654,316,660.0,327.0
196,,648,362,654.0,372.0
197,,636,394,643.0,404.0
198,,616,436,623.0,445.0
