timestamp,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
4997.203000,-0.078323,-0.168673,0.044664,-0.003935,0.000913,0.008682
4997.205000,-0.143902,-0.098006,-0.009418,-0.005213,0.002401,0.012463
4997.207000,-0.347126,0.047668,0.127922,-0.011895,-0.005195,0.010364
4997.209000,-0.019794,0.227263,0.097209,-0.014759,-0.001995,0.001402
4997.211000,0.001404,-0.054505,0.080081,-0.008742,0.000186,0.005399
4997.213000,0.163632,0.218402,-0.023644,-0.014392,0.003444,0.000476
4997.215000,0.298936,0.004989,-0.012032,-0.011033,0.011266,0.002081
4997.217000,0.090642,0.080714,0.050005,-0.009865,0.006096,0.005983
4997.219000,0.058711,-0.006823,0.109335,-0.005935,0.005257,0.008896
4997.221000,0.014478,-0.062956,-0.024243,-0.007417,0.004433,0.001890
4997.223000,-0.197049,0.166981,0.073285,-0.011445,-0.003109,0.006851
4997.225000,0.041729,-0.076004,0.042494,-0.007259,0.005231,0.008760
4997.227000,0.085459,0.027672,-0.008139,-0.010338,0.008627,0.008039
4997.229000,0.320705,-0.087920,0.016495,-0.007779,0.009604,0.002536
4997.231000,0.059690,-0.004880,-0.021428,-0.011589,0.003681,0.005848
4997.233000,0.271715,-0.019307,-0.068232,-0.010280,0.008574,0.004659
4997.235000,0.215766,0.065849,-0.153136,-0.012906,0.006098,0.001265
4997.237000,-0.072906,-0.078352,0.023683,-0.007156,0.003079,0.008245
4997.239000,-0.306809,-0.098305,0.187160,-0.003074,-0.001452,0.010450
4997.241000,-0.342877,0.118223,-0.008254,-0.011493,-0.003362,0.010043
4997.243000,-0.018339,0.049302,0.139647,-0.007967,0.003519,0.005691
4997.245000,-0.136646,-0.006877,0.186177,-0.006348,-0.002262,0.007976
4997.247000,-0.136646,-0.006877,0.186177,-0.006348,-0.002262,0.007976
4997.249000,0.103801,0.070688,-0.021599,-0.014279,0.003113,0.006248
4997.251000,0.249342,0.131936,-0.129086,-0.013125,0.007834,-0.002512
4997.253000,-0.198950,0.052984,0.108152,-0.010395,-0.001251,0.003228
4997.257000,0.070589,-0.025672,0.016425,-0.011458,0.006321,0.005010
4997.259000,0.278973,-0.147708,-0.108834,-0.007230,0.008644,-0.002414
4997.261000,-0.294705,0.186021,0.079848,-0.012261,-0.004214,0.008702
4997.263000,0.344096,0.067600,0.053772,-0.012576,0.007298,-0.000792
4997.265000,0.037480,0.095261,-0.044081,-0.012642,0.005173,0.002449
4997.267000,-0.028333,0.066110,0.148047,-0.005455,0.004345,0.010969
4997.269000,0.146243,0.092610,-0.016946,-0.010281,0.007512,0.008076
4997.271000,0.216424,0.056165,0.071442,-0.010244,0.010077,0.007968
4997.273000,-0.142753,-0.029629,0.182868,-0.002400,0.001778,0.008607
4997.275000,-0.162006,-0.085872,0.005894,-0.006133,0.001542,0.007073
4997.277000,0.070983,0.044632,-0.094133,-0.010872,0.006107,0.008346
4997.279000,0.095764,-0.182274,0.017427,-0.006481,0.006524,0.001830
4997.281000,-0.149989,-0.109960,0.041887,-0.005458,0.002483,0.005062
4997.283000,-0.083701,0.011041,0.072759,-0.007567,0.002044,0.011240
4997.285000,0.102576,0.084766,0.122578,-0.012516,0.001227,0.001069
4997.287000,0.071740,-0.244029,0.134500,-0.001888,0.006248,0.004376
4997.289000,-0.095006,0.084085,0.095844,-0.009648,0.001482,0.006603
4997.291000,-0.082765,0.028993,0.033705,-0.012849,0.001800,0.004571
4997.293000,-0.030876,-0.032221,0.006629,-0.007093,0.003459,0.005925
