timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
3367.358000,-0.579848,-0.051094,0.058608,-1.462584,-2.749920,-0.032660
3367.360000,-0.579850,-0.051087,0.058614,-1.462641,-2.749903,-0.032670
3367.362000,-0.579837,-0.051102,0.058581,-1.462581,-2.750001,-0.032705
3367.364000,-0.579862,-0.051096,0.058635,-1.462518,-2.749923,-0.032624
3367.366000,-0.579860,-0.051068,0.058628,-1.462584,-2.749880,-0.032704
3367.368000,-0.579849,-0.051090,0.058610,-1.462612,-2.749934,-0.032617
3367.370000,-0.579851,-0.051083,0.058616,-1.462579,-2.749909,-0.032719
3367.372000,-0.579873,-0.051073,0.058646,-1.462570,-2.749848,-0.032683
3367.374000,-0.579864,-0.051085,0.058629,-1.462552,-2.749902,-0.032644
3367.376000,-0.579850,-0.051069,0.058609,-1.462629,-2.749885,-0.032761
3367.380000,-0.579838,-0.051099,0.058578,-1.462623,-2.749960,-0.032714
3367.382000,-0.579860,-0.051071,0.058622,-1.462583,-2.749877,-0.032723
3367.384000,-0.579837,-0.051075,0.058601,-1.462591,-2.749937,-0.032712
3367.386000,-0.579863,-0.051078,0.058631,-1.462643,-2.749866,-0.032649
3367.388000,-0.579856,-0.051090,0.058610,-1.462586,-2.749926,-0.032645
3367.390000,-0.579849,-0.051077,0.058614,-1.462619,-2.749912,-0.032690
3367.392000,-0.579849,-0.051069,0.058591,-1.462622,-2.749913,-0.032733
3367.394000,-0.579842,-0.051081,0.058595,-1.462656,-2.749935,-0.032692
3367.396000,-0.579849,-0.051083,0.058614,-1.462603,-2.749920,-0.032689
3367.398000,-0.579859,-0.051076,0.058618,-1.462593,-2.749903,-0.032718
3367.400000,-0.579864,-0.051071,0.058622,-1.462657,-2.749858,-0.032650
3367.402000,-0.579867,-0.051078,0.058616,-1.462646,-2.749874,-0.032614
3367.404000,-0.579846,-0.051088,0.058615,-1.462645,-2.749915,-0.032633
3367.406000,-0.579822,-0.051097,0.058598,-1.462593,-2.749983,-0.032699
3367.408000,-0.579866,-0.051084,0.058618,-1.462565,-2.749884,-0.032680
3367.410000,-0.579850,-0.051094,0.058602,-1.462625,-2.749923,-0.032677
3367.412000,-0.579843,-0.051077,0.058600,-1.462579,-2.749960,-0.032744
3367.414000,-0.579838,-0.051092,0.058601,-1.462567,-2.749976,-0.032711
3367.418000,-0.579856,-0.051072,0.058607,-1.462619,-2.749906,-0.032706
3367.420000,-0.579873,-0.051077,0.058629,-1.462613,-2.749853,-0.032636
3367.422000,-0.579866,-0.051082,0.058619,-1.462615,-2.749897,-0.032638
3367.424000,-0.579858,-0.051089,0.058623,-1.462542,-2.749925,-0.032633
3367.426000,-0.579857,-0.051075,0.058621,-1.462607,-2.749881,-0.032711
3367.428000,-0.579846,-0.051070,0.058610,-1.462601,-2.749912,-0.032725
3367.430000,-0.579852,-0.051072,0.058606,-1.462579,-2.749915,-0.032699
3367.432000,-0.579859,-0.051061,0.058614,-1.462650,-2.749883,-0.032684
3367.434000,-0.579845,-0.051105,0.058607,-1.462541,-2.749967,-0.032696
3367.436000,-0.579851,-0.051076,0.058609,-1.462582,-2.749919,-0.032724
3367.438000,-0.579861,-0.051086,0.058602,-1.462530,-2.749943,-0.032699
3367.440000,-0.579849,-0.051066,0.058607,-1.462556,-2.749953,-0.032716
3367.442000,-0.579841,-0.051095,0.058606,-1.462556,-2.749955,-0.032757
3367.444000,-0.579844,-0.051084,0.058619,-1.462628,-2.749919,-0.032695
3367.446000,-0.579846,-0.051073,0.058600,-1.462618,-2.749907,-0.032707
3367.448000,-0.579855,-0.051076,0.058603,-1.462564,-2.749967,-0.032704
3367.450000,-0.579849,-0.051090,0.058618,-1.462533,-2.749947,-0.032726
3367.452000,-0.579859,-0.051072,0.058611,-1.462609,-2.749886,-0.032691
3367.454000,-0.579846,-0.051066,0.058603,-1.462575,-2.749944,-0.032714
3367.456000,-0.579861,-0.051089,0.058618,-1.462540,-2.749924,-0.032632
3367.460000,-0.579852,-0.051080,0.058612,-1.462615,-2.749905,-0.032663
3367.462000,-0.579834,-0.051082,0.058582,-1.462595,-2.749996,-0.032708
3367.464000,-0.579872,-0.051091,0.058616,-1.462554,-2.749900,-0.032643
3367.466000,-0.579843,-0.051081,0.058610,-1.462591,-2.749934,-0.032714
3367.468000,-0.579861,-0.051074,0.058628,-1.462641,-2.749860,-0.032670
3367.470000,-0.579836,-0.051067,0.058607,-1.462592,-2.749933,-0.032715
3367.472000,-0.579851,-0.051080,0.058609,-1.462566,-2.749934,-0.032707
3367.474000,-0.579866,-0.051099,0.058632,-1.462550,-2.749902,-0.032642
3367.476000,-0.579860,-0.051090,0.058619,-1.462501,-2.749933,-0.032667
3367.478000,-0.579859,-0.051086,0.058624,-1.462584,-2.749921,-0.032664
3367.480000,-0.579851,-0.051080,0.058601,-1.462628,-2.749925,-0.032678
3367.482000,-0.579852,-0.051069,0.058618,-1.462639,-2.749902,-0.032689
3367.484000,-0.579852,-0.051080,0.058621,-1.462565,-2.749933,-0.032665
3367.488000,-0.579862,-0.051085,0.058625,-1.462597,-2.749903,-0.032659
3367.488000,-0.579862,-0.051085,0.058625,-1.462597,-2.749903,-0.032659
3367.490000,-0.579851,-0.051076,0.058599,-1.462621,-2.749911,-0.032691
3367.494000,-0.579850,-0.051094,0.058605,-1.462540,-2.749964,-0.032714
3367.496000,-0.579856,-0.051066,0.058616,-1.462592,-2.749896,-0.032693
3367.498000,-0.579851,-0.051090,0.058608,-1.462551,-2.749947,-0.032690
3367.500000,-0.579844,-0.051095,0.058603,-1.462539,-2.749961,-0.032712
3367.502000,-0.579847,-0.051088,0.058608,-1.462556,-2.749952,-0.032712
3367.504000,-0.579848,-0.051083,0.058621,-1.462587,-2.749926,-0.032689
3367.506000,-0.579842,-0.051077,0.058588,-1.462646,-2.749958,-0.032680
3367.508000,-0.579858,-0.051085,0.058611,-1.462609,-2.749884,-0.032692
3367.510000,-0.579845,-0.051080,0.058604,-1.462625,-2.749915,-0.032713
