timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
15327.445000,-0.330770,-0.509658,-0.064439,-0.816493,-3.008542,-0.006722
15327.447000,-0.330783,-0.509649,-0.064441,-0.816566,-3.008515,-0.006706
15327.449000,-0.330771,-0.509669,-0.064446,-0.816516,-3.008558,-0.006705
15327.451000,-0.330769,-0.509648,-0.064457,-0.816548,-3.008541,-0.006755
15327.453000,-0.330767,-0.509654,-0.064453,-0.816478,-3.008558,-0.006753
15327.455000,-0.330767,-0.509654,-0.064460,-0.816477,-3.008558,-0.006756
15327.457000,-0.330770,-0.509643,-0.064463,-0.816534,-3.008546,-0.006798
15327.459000,-0.330769,-0.509667,-0.064436,-0.816492,-3.008528,-0.006687
15327.461000,-0.330769,-0.509652,-0.064460,-0.816511,-3.008538,-0.006764
15327.463000,-0.330748,-0.509646,-0.064476,-0.816425,-3.008592,-0.006807
15327.465000,-0.330756,-0.509639,-0.064470,-0.816496,-3.008562,-0.006814
15327.467000,-0.330775,-0.509641,-0.064459,-0.816579,-3.008560,-0.006754
15327.469000,-0.330770,-0.509657,-0.064461,-0.816516,-3.008555,-0.006772
15327.471000,-0.330777,-0.509655,-0.064440,-0.816515,-3.008559,-0.006704
15327.473000,-0.330767,-0.509665,-0.064437,-0.816480,-3.008568,-0.006705
15327.475000,-0.330764,-0.509651,-0.064445,-0.816556,-3.008559,-0.006736
15327.477000,-0.330764,-0.509652,-0.064463,-0.816533,-3.008543,-0.006754
15327.479000,-0.330777,-0.509654,-0.064458,-0.816469,-3.008525,-0.006741
15327.481000,-0.330765,-0.509664,-0.064450,-0.816556,-3.008554,-0.006720
15327.483000,-0.330753,-0.509657,-0.064450,-0.816457,-3.008552,-0.006763
15327.485000,-0.330770,-0.509638,-0.064468,-0.816571,-3.008541,-0.006774
15327.487000,-0.330761,-0.509648,-0.064452,-0.816534,-3.008549,-0.006773
15327.489000,-0.330752,-0.509651,-0.064455,-0.816520,-3.008576,-0.006751
15327.491000,-0.330770,-0.509663,-0.064440,-0.816419,-3.008558,-0.006680
15327.493000,-0.330749,-0.509657,-0.064457,-0.816446,-3.008580,-0.006790
15327.495000,-0.330775,-0.509673,-0.064433,-0.816495,-3.008545,-0.006654
15327.497000,-0.330757,-0.509635,-0.064472,-0.816520,-3.008574,-0.006824
15327.499000,-0.330775,-0.509653,-0.064452,-0.816513,-3.008542,-0.006736
15327.501000,-0.330754,-0.509662,-0.064444,-0.816426,-3.008589,-0.006721
15327.503000,-0.330776,-0.509658,-0.064452,-0.816559,-3.008557,-0.006694
15327.505000,-0.330767,-0.509645,-0.064465,-0.816479,-3.008566,-0.006774
15327.509000,-0.330781,-0.509679,-0.064427,-0.816467,-3.008517,-0.006638
15327.509000,-0.330757,-0.509669,-0.064444,-0.816487,-3.008584,-0.006712
15327.513000,-0.330760,-0.509648,-0.064447,-0.816516,-3.008554,-0.006774
15327.515000,-0.330766,-0.509674,-0.064438,-0.816455,-3.008546,-0.006706
15327.517000,-0.330787,-0.509654,-0.064442,-0.816516,-3.008558,-0.006701
15327.519000,-0.330760,-0.509642,-0.064456,-0.816495,-3.008549,-0.006786
15327.521000,-0.330753,-0.509651,-0.064466,-0.816480,-3.008571,-0.006790
15327.523000,-0.330787,-0.509645,-0.064439,-0.816469,-3.008527,-0.006742
15327.525000,-0.330784,-0.509646,-0.064451,-0.816520,-3.008560,-0.006749
15327.527000,-0.330757,-0.509645,-0.064474,-0.816506,-3.008594,-0.006790
15327.527000,-0.330757,-0.509645,-0.064474,-0.816506,-3.008594,-0.006790
15327.531000,-0.330762,-0.509670,-0.064424,-0.816435,-3.008543,-0.006689
15327.533000,-0.330760,-0.509653,-0.064445,-0.816536,-3.008554,-0.006745
15327.535000,-0.330757,-0.509651,-0.064458,-0.816494,-3.008548,-0.006782
15327.537000,-0.330773,-0.509650,-0.064461,-0.816552,-3.008538,-0.006759
15327.539000,-0.330754,-0.509651,-0.064460,-0.816488,-3.008591,-0.006768
15327.541000,-0.330772,-0.509651,-0.064454,-0.816511,-3.008549,-0.006754
15327.543000,-0.330791,-0.509658,-0.064439,-0.816509,-3.008525,-0.006687
15327.545000,-0.330776,-0.509658,-0.064432,-0.816458,-3.008556,-0.006695
15327.547000,-0.330769,-0.509667,-0.064439,-0.816474,-3.008547,-0.006724
15327.549000,-0.330771,-0.509638,-0.064460,-0.816556,-3.008550,-0.006790
15327.551000,-0.330782,-0.509654,-0.064463,-0.816572,-3.008539,-0.006731
15327.553000,-0.330764,-0.509667,-0.064438,-0.816475,-3.008550,-0.006695
15327.555000,-0.330753,-0.509657,-0.064447,-0.816461,-3.008569,-0.006729
15327.557000,-0.330763,-0.509642,-0.064457,-0.816477,-3.008557,-0.006825
15327.559000,-0.330795,-0.509661,-0.064420,-0.816522,-3.008501,-0.006637
15327.561000,-0.330792,-0.509649,-0.064442,-0.816587,-3.008516,-0.006722
15327.565000,-0.330795,-0.509664,-0.064428,-0.816500,-3.008492,-0.006675
15327.567000,-0.330756,-0.509639,-0.064464,-0.816550,-3.008547,-0.006816
15327.569000,-0.330786,-0.509654,-0.064435,-0.816467,-3.008522,-0.006724
15327.571000,-0.330762,-0.509651,-0.064441,-0.816537,-3.008560,-0.006721
15327.573000,-0.330747,-0.509639,-0.064475,-0.816542,-3.008577,-0.006812
15327.575000,-0.330777,-0.509655,-0.064449,-0.816475,-3.008553,-0.006738
15327.577000,-0.330790,-0.509640,-0.064449,-0.816568,-3.008510,-0.006734
15327.579000,-0.330757,-0.509636,-0.064471,-0.816482,-3.008583,-0.006821
15327.581000,-0.330763,-0.509657,-0.064439,-0.816438,-3.008558,-0.006766
15327.583000,-0.330768,-0.509642,-0.064446,-0.816477,-3.008554,-0.006782
15327.585000,-0.330784,-0.509655,-0.064440,-0.816516,-3.008556,-0.006661
15327.587000,-0.330756,-0.509660,-0.064460,-0.816457,-3.008553,-0.006764
15327.589000,-0.330748,-0.509656,-0.064462,-0.816545,-3.008591,-0.006732
15327.591000,-0.330747,-0.509650,-0.064456,-0.816480,-3.008580,-0.006777
15327.593000,-0.330779,-0.509651,-0.064468,-0.816569,-3.008528,-0.006783
15327.595000,-0.330769,-0.509651,-0.064464,-0.816486,-3.008591,-0.006729
15327.597000,-0.330779,-0.509662,-0.064441,-0.816511,-3.008541,-0.006696
15327.599000,-0.330781,-0.509658,-0.064449,-0.816501,-3.008562,-0.006705
15327.601000,-0.330784,-0.509656,-0.064455,-0.816532,-3.008542,-0.006716
15327.605000,-0.330774,-0.509651,-0.064452,-0.816562,-3.008565,-0.006753
15327.607000,-0.330753,-0.509650,-0.064457,-0.816485,-3.008579,-0.006737
15327.609000,-0.330775,-0.509658,-0.064436,-0.816526,-3.008522,-0.006733
15327.609000,-0.330775,-0.509658,-0.064436,-0.816526,-3.008522,-0.006733
15327.613000,-0.330758,-0.509642,-0.064467,-0.816496,-3.008562,-0.006817
15327.615000,-0.330771,-0.509664,-0.064446,-0.816515,-3.008552,-0.006729
15327.617000,-0.330757,-0.509659,-0.064461,-0.816487,-3.008595,-0.006743
15327.619000,-0.330761,-0.509659,-0.064441,-0.816475,-3.008553,-0.006739
15327.621000,-0.330764,-0.509657,-0.064459,-0.816520,-3.008565,-0.006763
15327.623000,-0.330777,-0.509676,-0.064441,-0.816414,-3.008544,-0.006672
15327.625000,-0.330770,-0.509648,-0.064461,-0.816516,-3.008555,-0.006771
15327.627000,-0.330786,-0.509663,-0.064433,-0.816507,-3.008520,-0.006675
15327.629000,-0.330769,-0.509657,-0.064445,-0.816537,-3.008565,-0.006737
15327.631000,-0.330760,-0.509653,-0.064453,-0.816460,-3.008568,-0.006730
15327.633000,-0.330787,-0.509649,-0.064451,-0.816588,-3.008527,-0.006714
15327.635000,-0.330765,-0.509652,-0.064466,-0.816497,-3.008565,-0.006790
15327.637000,-0.330757,-0.509661,-0.064442,-0.816435,-3.008546,-0.006730
15327.639000,-0.330784,-0.509662,-0.064433,-0.816491,-3.008530,-0.006687
15327.641000,-0.330754,-0.509653,-0.064435,-0.816475,-3.008555,-0.006739
15327.643000,-0.330755,-0.509628,-0.064472,-0.816560,-3.008574,-0.006815
15327.645000,-0.330770,-0.509648,-0.064456,-0.816498,-3.008560,-0.006772
15327.647000,-0.330765,-0.509648,-0.064464,-0.816553,-3.008555,-0.006761
15327.649000,-0.330741,-0.509676,-0.064452,-0.816459,-3.008567,-0.006725
15327.651000,-0.330771,-0.509627,-0.064458,-0.816552,-3.008535,-0.006825
15327.653000,-0.330744,-0.509648,-0.064466,-0.816500,-3.008575,-0.006779
15327.657000,-0.330762,-0.509671,-0.064440,-0.816490,-3.008543,-0.006723
15327.659000,-0.330767,-0.509655,-0.064466,-0.816459,-3.008563,-0.006755
15327.659000,-0.330767,-0.509655,-0.064466,-0.816459,-3.008563,-0.006755
15327.661000,-0.330772,-0.509659,-0.064452,-0.816556,-3.008548,-0.006704
15327.665000,-0.330756,-0.509639,-0.064459,-0.816496,-3.008555,-0.006795
15327.667000,-0.330765,-0.509663,-0.064450,-0.816477,-3.008552,-0.006739
15327.669000,-0.330768,-0.509651,-0.064450,-0.816473,-3.008542,-0.006748
15327.671000,-0.330772,-0.509640,-0.064475,-0.816519,-3.008573,-0.006825
15327.673000,-0.330757,-0.509656,-0.064452,-0.816500,-3.008575,-0.006738
15327.675000,-0.330761,-0.509649,-0.064461,-0.816540,-3.008565,-0.006738
15327.677000,-0.330776,-0.509664,-0.064447,-0.816472,-3.008541,-0.006708
15327.679000,-0.330773,-0.509651,-0.064460,-0.816516,-3.008548,-0.006754
15327.681000,-0.330781,-0.509648,-0.064451,-0.816532,-3.008543,-0.006757
